id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
21W000000000078N;UGS Haidach (astora);['GIE_21W000000000078N'];['N_21'];47.9867;13.232375;AT;None;{'eic_code': '21X000000001160J', 'facility_code': '21W000000000078N', 'max_cap_pipe2store_M_m3_per_d': 10.27057603416, 'max_cap_store2pipe_M_m3_per_d': 8.854530026880001, 'max_workingGas_M_m3': 10.4435, 'name_short': 'Haidach'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
25W-SPHAID-GAZ-M;UGS Haidach (GSA);['GIE_25W-SPHAID-GAZ-M'];['N_21'];47.9867;13.232375;AT;None;{'eic_code': '25X-GSALLC-----E', 'facility_code': '25W-SPHAID-GAZ-M', 'max_cap_pipe2store_M_m3_per_d': 19.70208352872, 'max_cap_store2pipe_M_m3_per_d': 17.69303290188, 'max_workingGas_M_m3': 20.8685, 'name_short': 'Haidach'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
21W000000000057V;UGS 7 Fields (Uniper Energy Storage) - AT;['GIE_21W000000000057V'];['N_22'];47.962006;13.356863;AT;None;{'eic_code': '21X000000001127H', 'facility_code': '21W000000000057V', 'max_cap_pipe2store_M_m3_per_d': 23.83426039284, 'max_cap_store2pipe_M_m3_per_d': 15.255020268840001, 'max_workingGas_M_m3': 19.415, 'name_short': '7Fields'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
21Z000000000102A;UGS Loenhout;['GIE_21Z000000000102A'];['N_23'];51.386993;4.703353;BE;None;{'eic_code': '21X-BE-A-A0A0A-Y', 'facility_code': '21Z000000000102A', 'max_cap_pipe2store_M_m3_per_d': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': None, 'name_short': 'Loenhout'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': -999, 'max_cap_store2pipe_M_m3_per_d': -999, 'max_workingGas_M_m3': -999, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': None, 'name_short': 'raw'};{}
21W000000000031C;UGS Chiren;['GIE_21W000000000031C'];['N_24'];43.349887;23.592123;BG;None;{'eic_code': '21X-BG-A-A0A0A-C', 'facility_code': '21W000000000031C', 'max_cap_pipe2store_M_m3_per_d': 3.7616668236, 'max_cap_store2pipe_M_m3_per_d': 4.514000188320001, 'max_workingGas_M_m3': 6.27, 'name_short': 'Chiren'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
21W000000000075T;UGS Uhrice;['GIE_21W000000000075T'];['N_25'];49.036809000000005;16.933182000000002;CZ;None;{'eic_code': '27XG-MNDGS-CZ--R', 'facility_code': '21W000000000075T', 'max_cap_pipe2store_M_m3_per_d': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': None, 'name_short': 'Uhrice'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': -999, 'max_cap_store2pipe_M_m3_per_d': -999, 'max_workingGas_M_m3': -999, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': None, 'name_short': 'raw'};{}
21W000000000102F;UGS Damborice;['GIE_21W000000000102F'];['N_26'];49.054629;16.91432;CZ;None;{'eic_code': '27X-MORAVIAGS--E', 'facility_code': '21W000000000102F', 'max_cap_pipe2store_M_m3_per_d': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': None, 'name_short': 'Damborice'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': -999, 'max_cap_store2pipe_M_m3_per_d': -999, 'max_workingGas_M_m3': -999, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': None, 'name_short': 'raw'};{}
21W000000000074V;UGS Dolni Bojanovice;['GIE_21W000000000074V'];['N_27'];48.871373999999996;17.028471;CZ;None;{'eic_code': '27X-SPPSTORAGE-R', 'facility_code': '21W000000000074V', 'max_cap_pipe2store_M_m3_per_d': 9.01103045112, 'max_cap_store2pipe_M_m3_per_d': 7.00857923976, 'max_workingGas_M_m3': 6.117, 'name_short': 'DolniBojanovice'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
21W0000000001148;UGS Jemgum H (astora);['GIE_21W0000000001148'];['N_28'];53.253484;7.388862;DE;None;{'eic_code': '21X000000001160J', 'facility_code': '21W0000000001148', 'max_cap_pipe2store_M_m3_per_d': 19.73036673792, 'max_cap_store2pipe_M_m3_per_d': 13.185632129040002, 'max_workingGas_M_m3': 7.0896, 'name_short': 'JemgumH'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
21Z000000000271O;UGS Rehden;['GIE_21Z000000000271O'];['N_29'];52.613673;8.493598;DE;None;{'eic_code': '21X000000001160J', 'facility_code': '21Z000000000271O', 'max_cap_pipe2store_M_m3_per_d': 52.08824361, 'max_cap_store2pipe_M_m3_per_d': 33.85782973332, 'max_workingGas_M_m3': 48.62, 'name_short': 'Rehden'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
