id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
N_0;Zeebrugge LNG Terminal;['GIE_21W0000000001245'];['N_0'];51.323;3.213;BE;None;{'eic_code': '21X000000001006T', 'exact': '2', 'facility_code': '21W0000000001245', 'name_short': 'Zeebrugge'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_1;Bilbao LNG Terminal;['GIE_21W0000000000362'];['N_1'];43.3612;-3.09473;ES;None;{'eic_code': '21X000000001352A', 'exact': '2', 'facility_code': '21W0000000000362', 'name_short': 'Bilbao'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_2;Barcelona LNG Terminal;['GIE_21W000000000039X'];['N_2'];41.398;2.174;ES;None;{'eic_code': '21X000000001254A', 'exact': '2', 'facility_code': '21W000000000039X', 'name_short': 'Barcelona'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_3;Cartagena LNG Terminal;['GIE_21W000000000038Z'];['N_3'];37.624;-0.998;ES;None;{'eic_code': '21X000000001254A', 'exact': '2', 'facility_code': '21W000000000038Z', 'name_short': 'Cartagena'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_4;Huelva LNG Terminal;['GIE_21W0000000000370'];['N_4'];37.2615;-6.9422;ES;None;{'eic_code': '21X000000001254A', 'exact': '2', 'facility_code': '21W0000000000370', 'name_short': 'Huelva'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_5;Sagunto LNG Terminal;['GIE_21W0000000000354'];['N_5'];39.6329;-0.2152;ES;None;{'eic_code': '18XTGPRS-12345-G', 'exact': '2', 'facility_code': '21W0000000000354', 'name_short': 'Sagunto'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_6;Mugardos LNG Terminal;['GIE_21W0000000000338'];['N_6'];43.4578;-8.253;ES;None;{'eic_code': '18XRGNSA-12345-V', 'exact': '2', 'facility_code': '21W0000000000338', 'name_short': 'Mugardos'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_7;Fos Tonkin LNG Terminal;['GIE_63W179356656691A'];['N_7'];43.454;4.85167;FR;None;{'eic_code': '21X0000000010679', 'exact': '1', 'facility_code': '63W179356656691A', 'name_short': 'FosTonkin'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_8;Montoir de Bretagne LNG Terminal;['GIE_63W631527814486R'];['N_8'];47.32;-2.14;FR;None;{'eic_code': '21X0000000010679', 'exact': '2', 'facility_code': '63W631527814486R', 'name_short': 'MontoirDeBretagne'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
N_9;Dunkerque LNG Terminal;['GIE_21W0000000000451'];['N_9'];51.033134;2.194792;FR;None;{'eic_code': '21X000000001331I', 'exact': '1', 'facility_code': '21W0000000000451', 'name_short': 'Dunkerque'};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw'};{}
