id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
N_0;N_0;['GB_0'];['N_0'];57.13600455;-2.379727732;GB;None;{};{};{};{}
N_1;N_1;['DE_1'];['N_1'];53.0092;9.0510401;DE;None;{};{};{};{}
N_2;N_2;['SK_2'];['N_2'];45.886902500000005;13.909914;SK;None;{};{};{};{}
N_3;N_3;['ES_3'];['N_3'];39.390074799999994;-3.2100984;ES;None;{};{};{};{}
N_4;N_4;['UA_4'];['N_4'];47.6914432;31.275912899999994;UA;None;{};{};{};{}
N_5;N_5;['ES_5'];['N_5'];40.585921;-3.5458019999999997;ES;None;{};{};{};{}
N_6;N_6;['ES_6'];['N_6'];38.711202;-6.3825389999999995;ES;None;{};{};{};{}
N_7;N_7;['NL_7'];['N_7'];51.4823836;4.9533065;NL;None;{};{};{};{}
N_8;N_8;['GB_8'];['N_8'];52.73869018;-1.77561329;GB;None;{};{};{};{}
N_9;N_9;['UA_9'];['N_9'];47.714758;29.9913264;UA;None;{};{};{};{}
N_10;N_10;['FR_10'];['N_10'];50.36334;2.869612;FR;None;{};{};{};{}
N_11;N_11;['FR_11'];['N_11'];44.495849;-0.146575;FR;None;{};{};{};{}
N_12;N_12;['FR_12'];['N_12'];47.902617;-0.353136;FR;None;{};{};{};{}
N_13;N_13;['GB_13'];['N_13'];55.919743999999994;-3.740241;GB;None;{};{};{};{}
N_14;N_14;['GB_14'];['N_14'];51.5306638;-2.654260229;GB;None;{};{};{};{}
N_15;N_15;['GB_15'];['N_15'];51.86022749;-0.962549867;GB;None;{};{};{};{}
N_16;N_16;['FR_16'];['N_16'];48.237634;7.539465;FR;None;{};{};{};{}
N_17;N_17;['GB_17'];['N_17'];54.84019;-5.788932;GB;None;{};{};{};{}
N_18;N_18;['ES_18'];['N_18'];41.279454799999996;1.5808175;ES;None;{};{};{};{}
N_19;N_19;['UA_19'];['N_19'];49.0768482;27.682612100000004;UA;None;{};{};{};{}
N_20;N_20;['FR_20'];['N_20'];43.1756;2.513;FR;None;{};{};{};{}
N_21;N_21;['HU_21'];['N_21'];46.126703000000006;18.7741311;HU;None;{};{};{};{}
N_22;N_22;['GB_22'];['N_22'];55.91941138;-3.7417789580000003;GB;None;{};{};{};{}
N_23;N_23;['AT_23'];['N_23'];48.316295000000004;16.875328;AT;None;{};{};{};{}
N_24;N_24;['UA_24'];['N_24'];49.910659100000004;28.590031300000003;UA;None;{};{};{};{}
N_25;N_25;['HU_25'];['N_25'];48.198510799999994;22.5320069;HU;None;{};{};{};{}
N_26;N_26;['RU_26'];['N_26'];47.215356;39.7212251;RU;None;{};{};{};{}
N_27;N_27;['BE_27'];['N_27'];50.753777;5.739351;BE;None;{};{};{};{}
N_28;N_28;['NL_28'];['N_28'];52.487665;4.700005;NL;None;{};{};{};{}
N_29;N_29;['FR_29'];['N_29'];48.844032;1.8738650000000001;FR;None;{};{};{};{}
N_30;N_30;['RO_30'];['N_30'];44.7815366;23.4907078;RO;None;{};{};{};{}
N_31;N_31;['GB_31'];['N_31'];54.67077020000001;-1.565698513;GB;None;{};{};{};{}
N_32;N_32;['DE_32'];['N_32'];51.703309000000004;12.251789;DE;None;{};{};{};{}
N_33;N_33;['DE_33'];['N_33'];52.969855;9.346442999999999;DE;None;{};{};{};{}
N_34;N_34;['FR_34'];['N_34'];48.048439;-1.8642310000000002;FR;None;{};{};{};{}
N_35;N_35;['FR_35'];['N_35'];49.382658;5.329267;FR;None;{};{};{};{}
N_36;N_36;['GB_36'];['N_36'];54.78735;-4.1291199999999995;GB;None;{};{};{};{}
N_37;N_37;['FR_37'];['N_37'];45.822208;-0.47983100000000006;FR;None;{};{};{};{}
N_38;N_38;['DE_38'];['N_38'];53.20584300000001;7.2296830000000005;DE;None;{};{};{};{}
N_39;N_39;['GB_39'];['N_39'];52.0812606;0.166856789;GB;None;{};{};{};{}
N_40;N_40;['FR_40'];['N_40'];44.291534000000006;-0.261723;FR;None;{};{};{};{}
N_41;N_41;['GB_41'];['N_41'];54.10108859;-2.737139207;GB;None;{};{};{};{}
N_42;N_42;['PT_42'];['N_42'];39.0226889;-8.976920800000002;PT;None;{};{};{};{}
N_43;N_43;['FR_43'];['N_43'];48.150232;2.7044259999999998;FR;None;{};{};{};{}
N_44;N_44;['FR_44'];['N_44'];45.64714;0.367019;FR;None;{};{};{};{}
N_45;N_45;['GB_45'];['N_45'];51.75082117;0.404054565;GB;None;{};{};{};{}
N_46;N_46;['ES_46'];['N_46'];38.892435;-1.719831;ES;None;{};{};{};{}
N_47;N_47;['GB_47'];['N_47'];52.41508373;-1.27196689;GB;None;{};{};{};{}
N_48;N_48;['PL_48'];['N_48'];52.8814838;20.6197948;PL;None;{};{};{};{}
N_49;N_49;['PL_49'];['N_49'];49.7497638;18.635470899999998;PL;None;{};{};{};{}
N_50;N_50;['ES_50'];['N_50'];37.885999999999996;-4.7803;ES;None;{};{};{};{}
N_51;N_51;['FR_51'];['N_51'];44.085646999999994;4.882963;FR;None;{};{};{};{}
N_52;N_52;['ES_52'];['N_52'];38.2446844;-0.8113636;ES;None;{};{};{};{}
N_53;N_53;['ES_53'];['N_53'];38.868056;-0.026708999999999997;ES;None;{};{};{};{}
N_54;N_54;['FR_54'];['N_54'];48.310884;3.829932;FR;None;{};{};{};{}
N_55;N_55;['GB_55'];['N_55'];52.33222249;1.132177892;GB;None;{};{};{};{}
N_56;N_56;['UA_56'];['N_56'];48.9764573;23.989245899999997;UA;None;{};{};{};{}
N_57;N_57;['MD_57'];['N_57'];48.1177021;27.808000099999997;MD;None;{};{};{};{}
N_58;N_58;['AT_58'];['N_58'];47.874784000000005;16.324289;AT;None;{};{};{};{}
N_59;N_59;['DK_59'];['N_59'];55.617559;9.312291900000002;DK;None;{};{};{};{}
N_60;N_60;['DE_60'];['N_60'];50.902646000000004;11.006814;DE;None;{};{};{};{}
N_61;N_61;['DE_61'];['N_61'];54.801913;9.289;DE;None;{};{};{};{}
N_62;N_62;['DE_62'];['N_62'];51.897037;6.144031;DE;None;{};{};{};{}
N_63;N_63;['DE_63'];['N_63'];53.0268;9.022361;DE;None;{};{};{};{}
N_64;N_64;['IT_64'];['N_64'];37.5099321;14.262851000000001;IT;None;{};{};{};{}
N_65;N_65;['FR_65'];['N_65'];45.433287;5.7521129;FR;None;{};{};{};{}
N_66;N_66;['ES_66'];['N_66'];43.21;-1.38;ES;None;{};{};{};{}
N_67;N_67;['FR_67'];['N_67'];48.65394179999999;2.6357442000000004;FR;None;{};{};{};{}
N_68;N_68;['GB_68'];['N_68'];51.69076021;-3.9559767710000004;GB;None;{};{};{};{}
N_69;N_69;['IT_69'];['N_69'];42.373095;12.40241;IT;None;{};{};{};{}
N_70;N_70;['DE_70'];['N_70'];49.743662;8.550880000000001;DE;None;{};{};{};{}
N_71;N_71;['PL_71'];['N_71'];53.56381999999999;14.828429999999999;PL;None;{};{};{};{}
N_72;N_72;['AT_72'];['N_72'];47.3404037;15.991103599999999;AT;None;{};{};{};{}
N_73;N_73;['IT_73'];['N_73'];46.45;8.3666667;IT;None;{};{};{};{}
N_74;N_74;['NL_74'];['N_74'];53.27855400000001;6.3102800000000006;NL;None;{};{};{};{}
N_75;N_75;['PL_75'];['N_75'];52.6591774;18.877734399999998;PL;None;{};{};{};{}
N_76;N_76;['UA_76'];['N_76'];49.073147;26.1831731;UA;None;{};{};{};{}
N_77;N_77;['DE_77'];['N_77'];48.193991;12.851803;DE;None;{};{};{};{}
N_78;N_78;['HU_78'];['N_78'];47.507335;21.366312;HU;None;{};{};{};{}
N_79;N_79;['ES_79'];['N_79'];42.565847;-2.8823950000000003;ES;None;{};{};{};{}
N_80;N_80;['AG_80'];['N_80'];32.934991600000004;3.2684215;AG;None;{};{};{};{}
N_81;N_81;['GB_81'];['N_81'];53.26989703;-0.240515533;GB;None;{};{};{};{}
N_82;N_82;['DE_82'];['N_82'];52.945102;8.308819999999999;DE;None;{};{};{};{}
N_83;N_83;['NL_83'];['N_83'];51.485682700000005;5.1384062;NL;None;{};{};{};{}
N_84;N_84;['CZ_84'];['N_84'];50.602016;13.450129;CZ;None;{};{};{};{}
N_85;N_85;['CZ_85'];['N_85'];49.0055;15.879423999999998;CZ;None;{};{};{};{}
N_86;N_86;['DE_86'];['N_86'];47.835122;7.596259;DE;None;{};{};{};{}
N_87;N_87;['GB_87'];['N_87'];52.31032265;-0.362344801;GB;None;{};{};{};{}
N_88;N_88;['UA_88'];['N_88'];48.173463299999995;23.297247600000002;UA;None;{};{};{};{}
N_89;N_89;['BG_89'];['N_89'];42.43824179999999;23.8161718;BG;None;{};{};{};{}
N_90;N_90;['FI_90'];['N_90'];61.169597700000004;28.7645463;FI;None;{};{};{};{}
N_91;N_91;['IT_91'];['N_91'];45.715303000000006;12.072133000000001;IT;None;{};{};{};{}
N_92;N_92;['BY_92'];['N_92'];52.7079632;25.335375199999998;BY;None;{};{};{};{}
N_93;N_93;['PL_93'];['N_93'];50.016146299999996;22.6777169;PL;None;{};{};{};{}
N_94;N_94;['LT_94'];['N_94'];54.941019;25.007620000000003;LT;None;{};{};{};{}
N_95;N_95;['PL_95'];['N_95'];50.421901899999995;16.259536800000003;PL;None;{};{};{};{}
N_96;N_96;['RO_96'];['N_96'];45.4591308;22.186488;RO;None;{};{};{};{}
N_97;N_97;['BG_97'];['N_97'];43.753800899999995;28.107900300000004;BG;None;{};{};{};{}
N_98;N_98;['UA_98'];['N_98'];49.5833333;36.35;UA;None;{};{};{};{}
N_99;N_99;['SK_99'];['N_99'];46.4050135;15.7947234;SK;None;{};{};{};{}
N_100;N_100;['GB_100'];['N_100'];52.71582283;0.547139531;GB;None;{};{};{};{}
N_101;N_101;['EE_101'];['N_101'];58.25029839999999;22.040187300000003;EE;None;{};{};{};{}
N_102;N_102;['GR_102'];['N_102'];40.970417;26.307160999999997;GR;None;{};{};{};{}
N_103;N_103;['AT_103'];['N_103'];48.4319861;15.8974939;AT;None;{};{};{};{}
N_104;N_104;['UA_104'];['N_104'];48.507933;32.262316999999996;UA;None;{};{};{};{}
N_105;N_105;['GB_105'];['N_105'];56.68104364;-2.9255883060000003;GB;None;{};{};{};{}
N_106;N_106;['BY_106'];['N_106'];52.2141109;24.3581792;BY;None;{};{};{};{}
N_107;N_107;['PL_107'];['N_107'];53.01781;23.896413;PL;None;{};{};{};{}
N_108;N_108;['AG_108'];['N_108'];36.936721;8.642711;AG;None;{};{};{};{}
N_109;N_109;['CZ_109'];['N_109'];50.016479;14.930975;CZ;None;{};{};{};{}
N_110;N_110;['FI_110'];['N_110'];60.8678835;26.7041602;FI;None;{};{};{};{}
N_111;N_111;['UA_111'];['N_111'];49.6492023;26.9757217;UA;None;{};{};{};{}
N_112;N_112;['DE_112'];['N_112'];53.36059;7.065929;DE;None;{};{};{};{}
N_113;N_113;['BY_113'];['N_113'];54.3269605;29.142603100000002;BY;None;{};{};{};{}
N_114;N_114;['FR_114'];['N_114'];44.545851899999995;4.935637;FR;None;{};{};{};{}
N_115;N_115;['CZ_115'];['N_115'];48.734049;16.974273999999998;CZ;None;{};{};{};{}
