id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Almeria;Almeria;['IN_Almeria'];['N_237'];36.83;-2.46;DZ;None;{'end_year': 2050, 'license': None, 'source': 'MEDGAZ', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Balgzand;Balgzand;['IN_Balgzand'];['N_243'];52.89823810000001;4.845275;NL;None;{'end_year': 2050, 'license': None, 'source': 'BBL', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Beregdaroc;Beregdaroc;['IN_Beregdaroc'];['N_25'];48.1985108;22.5320069;HU;None;{'end_year': 2050, 'license': None, 'source': '?', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Budince;Budince;['IN_Budince'];['N_248'];48.5448153;22.1227244;SK;None;{'end_year': 2050, 'license': None, 'source': 'EuStream', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Cordoba;Cordoba;['IN_Cordoba'];['N_50'];37.886;-4.7803;ES;None;{'end_year': 2050, 'license': None, 'source': 'MEG', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Dornum;Dornum;['IN_Dornum'];['N_256'];53.66;7.404;DE;None;{'end_year': 2050, 'license': None, 'source': 'Europipe I, Europipe II', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Drozdwicze;Drozdwicze;['IN_Drozdwicze'];['N_258'];49.8087968;23.6441847;PL;None;{'end_year': 2050, 'license': None, 'source': 'Europol', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Dunkerque;Dunkerque;['IN_Dunkerque'];['N_259'];51.033134;2.194792;FR;None;{'end_year': 2050, 'license': None, 'source': 'Interconnector,Franpipe', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Emden;Emden;['IN_Emden'];['N_260'];53.3594029;7.2060095;DE;None;{'end_year': 2050, 'license': None, 'source': 'Norpipe', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Gela;Gela;['IN_Gela'];['N_264'];37.052698;14.269219;IT;None;{'end_year': 2050, 'license': None, 'source': 'Greenstream', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
