id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
N_0;N_0;['GB_0'];['N_0'];57.13600455;-2.379727732;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_1;N_1;['DE_1'];['N_1'];53.0092;9.0510401;DE;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_2;N_2;['SK_2'];['N_2'];45.88690250000001;13.909914;SK;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_3;N_3;['ES_3'];['N_3'];39.3900748;-3.2100984;ES;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_4;N_4;['UA_4'];['N_4'];47.6914432;31.275912899999994;UA;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_5;N_5;['ES_5'];['N_5'];40.585921;-3.545802;ES;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_6;N_6;['ES_6'];['N_6'];38.711202;-6.382539;ES;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_7;N_7;['NL_7'];['N_7'];51.4823836;4.9533065;NL;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_8;N_8;['GB_8'];['N_8'];52.73869018;-1.77561329;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_9;N_9;['UA_9'];['N_9'];47.714758;29.9913264;UA;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_10;N_10;['FR_10'];['N_10'];50.36334;2.869612;FR;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_11;N_11;['FR_11'];['N_11'];44.495849;-0.146575;FR;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_12;N_12;['FR_12'];['N_12'];47.902617;-0.353136;FR;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_13;N_13;['GB_13'];['N_13'];55.919744;-3.740241;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_14;N_14;['GB_14'];['N_14'];51.5306638;-2.654260229;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_15;N_15;['GB_15'];['N_15'];51.86022749;-0.962549867;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_16;N_16;['FR_16'];['N_16'];48.237634;7.539465;FR;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_17;N_17;['GB_17'];['N_17'];54.84019;-5.788932;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_18;N_18;['ES_18'];['N_18'];41.2794548;1.5808175;ES;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_19;N_19;['UA_19'];['N_19'];49.0768482;27.682612100000004;UA;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_20;N_20;['FR_20'];['N_20'];43.1756;2.513;FR;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_21;N_21;['HU_21'];['N_21'];46.126703000000006;18.7741311;HU;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_22;N_22;['GB_22'];['N_22'];55.91941138;-3.741778958;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_23;N_23;['AT_23'];['N_23'];48.316295;16.875328;AT;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_24;N_24;['UA_24'];['N_24'];49.9106591;28.590031300000003;UA;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_25;N_25;['HU_25'];['N_25'];48.1985108;22.5320069;HU;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_26;N_26;['RU_26'];['N_26'];47.215356;39.7212251;RU;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_27;N_27;['BE_27'];['N_27'];50.753777;5.739351;BE;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_28;N_28;['NL_28'];['N_28'];52.487665;4.700005;NL;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_29;N_29;['FR_29'];['N_29'];48.844032;1.873865;FR;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_30;N_30;['RO_30'];['N_30'];44.7815366;23.4907078;RO;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_31;N_31;['GB_31'];['N_31'];54.67077020000001;-1.565698513;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_32;N_32;['DE_32'];['N_32'];51.703309;12.251789;DE;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
N_33;N_33;['DE_33'];['N_33'];52.969855;9.346443;DE;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
