id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Almeria;Almeria;['IN_Almeria'];['N_237'];36.83;-2.46;DZ;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Alveringem;Alveringem;['IN_Alveringem'];['N_164'];50.926317;2.315596;BE;;{'end_year': 2050, 'license': None, 'pipe_name': 'Alveringem-Maldegem pipeline', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
Arnoldstein;Arnoldstein;['IN_Arnoldstein'];['N_239'];46.5499903;13.7057619;AT;;{'end_year': 2050, 'license': None, 'pipe_name': 'medgaz', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
Badajoz;Badajoz;['IN_Badajoz'];['N_241'];38.87665;-6.9714;ES;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Balassagyarmat;Balassagyarmat;['IN_Balassagyarmat'];['N_543'];47.49059;19.245;UA;;{'end_year': 2050, 'license': None, 'pipe_name': 'Slovak-Hungarian Gas Interconnector', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
Balgzand;Balgzand;['IN_Balgzand'];['N_534'];52.756746;5.050348;NL;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Ballylumford;Ballylumford;['IN_Ballylumford'];['N_17'];54.84019;-5.788932;GB;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Basel;Basel;['IN_Basel'];['N_645'];47.481;7.457;CH;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Baumgarten;Baumgarten;['IN_Baumgarten'];['N_23'];48.316295;16.875328;AT;;{'end_year': 2050, 'license': None, 'pipe_name': 'WAG', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
Beregdaroc;Beregdaroc;['IN_Beregdaroc'];['N_599'];48.546;22.077;HU;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
