id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Almeria;Almeria;['IN_Almeria'];['N_237'];36.83;-2.46;DZ;;{'end_year': 2050, 'license': None, 'source': 'MEDGAZ', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Balgzand;Balgzand;['IN_Balgzand'];['N_534'];52.756746;5.050348;NL;;{'end_year': 2050, 'license': None, 'source': 'BBL', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Beregdaroc;Beregdaroc;['IN_Beregdaroc'];['N_599'];48.546;22.077;HU;;{'end_year': 2050, 'license': None, 'source': '?', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Budince;Budince;['IN_Budince'];['N_599'];48.546;22.077;SK;;{'end_year': 2050, 'license': None, 'source': 'EuStream', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Cordoba;Cordoba;['IN_Cordoba'];['N_50'];37.886;-4.7803;ES;;{'end_year': 2050, 'license': None, 'source': 'MEG', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Dornum;Dornum;['IN_Dornum'];['N_256'];53.66;7.404;DE;;{'end_year': 2050, 'license': None, 'source': 'Europipe I, Europipe II', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Drozdwicze;Drozdwicze;['IN_Drozdwicze'];['N_258'];49.8087968;23.6441847;PL;;{'end_year': 2050, 'license': None, 'source': 'Europol', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Dunkerque;Dunkerque;['IN_Dunkerque'];['N_259'];51.033134;2.194792;FR;;{'end_year': 2050, 'license': None, 'source': 'Interconnector,Franpipe', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Emden;Emden;['IN_Emden'];['N_613'];53.36059;7.065929;DE;;{'end_year': 2050, 'license': None, 'source': 'Norpipe', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Gela;Gela;['IN_Gela'];['N_264'];37.052698;14.269219;IT;;{'end_year': 2050, 'license': None, 'source': 'Greenstream', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Greifswald;Greifswald;['IN_Greifswald'];['N_565'];54.151055;13.655607;DE;;{'end_year': 2050, 'license': None, 'source': 'Nordstream', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Imatra;Imatra;['IN_Imatra'];['N_170'];60.5549;28.065696;FI;;{'end_year': 2050, 'license': None, 'source': 'Gryazovets-Vyborg', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Kipoi;Kipoi;['IN_Kipoi'];['N_102'];40.970417;26.307161;GR;Border Crossing Point;{'end_year': 2050, 'license': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Komotini;Komotini;['IN_Komotini'];['N_502'];40.9399278;25.9940986;GR;;{'end_year': 2050, 'license': None, 'source': 'interconnetor Tur-It-GR', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Kondratki;Kondratki;['IN_Kondratki'];['N_107'];53.01781;23.896413;PL;;{'end_year': 2050, 'license': None, 'source': 'EUROPOL', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Kotlovka;Kotlovka;['IN_Kotlovka'];['N_657'];54.6872;25.2797;LT;;{'end_year': 2050, 'license': None, 'source': 'Baltic Pipeline System', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
MazaraDelVallo;MazaraDelVallo;['IN_MazaraDelVallo'];['N_284'];37.64;12.59;DZ;;{'end_year': 2050, 'license': None, 'source': 'TRANSMED', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
Nybro;Nybro;['IN_Nybro'];['N_126'];55.776;8.178;DK;;{'end_year': 2050, 'license': None, 'source': 'Tyra east, South Arne', 'start_year': 1983};{'end_year': 0, 'license': -999, 'source': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'source': 'raw', 'start_year': 'make_Attrib(const)'};{}
