id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Almeria;Almeria;['IN_Almeria'];['N_237'];36.83;-2.46;DZ;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Arnoldstein;Arnoldstein;['IN_Arnoldstein'];['N_239'];46.5499903;13.7057619;AT;;{'end_year': 2050, 'license': None, 'pipe_name': 'medgaz', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
Badajoz;Badajoz;['IN_Badajoz'];['N_241'];38.87665;-6.9714;ES;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Ballylumford;Ballylumford;['IN_Ballylumford'];['N_17'];54.84019;-5.788932;GB;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Baumgarten;Baumgarten;['IN_Baumgarten'];['N_23'];48.316295;16.875328;AT;;{'end_year': 2050, 'license': None, 'pipe_name': 'WAG', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
Bocholtz;Bocholtz;['IN_Bocholtz'];['N_246'];50.817365;6.021767;NL;;{'end_year': 2050, 'license': None, 'pipe_name': 'TENP', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
Brandov;Brandov;['IN_Brandov'];['N_247'];50.635;13.39;CZ;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Brighthouse;Brighthouse;['IN_Brighthouse'];['N_36'];54.78735;-4.12912;GB;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Burghausen;Burghausen;['IN_Burghausen'];['N_249'];48.17;12.826;DE;;{'end_year': 2050, 'license': None, 'pipe_name': 'MONACO', 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': 'make_Attrib(const)'};{}
CampoMaior;CampoMaior;['IN_CampoMaior'];['N_250'];39.022;-7.059;PT;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Cordoba;Cordoba;['IN_Cordoba'];['N_50'];37.886;-4.7803;ES;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
Cordoba;Cordoba;['IN_Cordoba'];['N_50'];37.886;-4.7803;ES;;{'end_year': 2050, 'license': None, 'pipe_name': None, 'source': None, 'start_year': 1983};{'end_year': 0, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'license': None, 'pipe_name': None, 'source': None, 'start_year': 'make_Attrib(const)'};{}
