id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Alexandroupolis;Alexandroupolis;['IN_Alexandroupolis'];['N_327'];40.9399278;25.9940986;GR;;{'eic_code': None, 'end_year': 2050, 'facility_code': None, 'license': None, 'max_cap_store2pipe_M_m3_per_d': 16.71232876712329, 'max_workingGas_M_m3': 110926712.0, 'median_cap_store2pipe_M_m3_per_d': 18.663124184294865, 'name_short': None, 'source': 'http://www.gastrade.gr/en/the-company/the-project.aspx', 'start_year': 2022.0};{'eic_code': -999, 'end_year': 0, 'facility_code': -999, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.7960084690000001, 'name_short': -999, 'source': 0, 'start_year': 0};{'eic_code': None, 'end_year': 'make_Attrib(const)', 'facility_code': None, 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso', 'name_short': None, 'source': 'raw', 'start_year': 'raw'};{}
Barcelona;Barcelona;['IN_Barcelona', 'GIE_21W000000000039X'];['N_328'];41.398;2.174;ES;;{'eic_code': '21X000000001254A', 'end_year': 2050, 'facility_code': '21W000000000039X', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 46.84931506849315, 'max_workingGas_M_m3': 548286648.0, 'median_cap_store2pipe_M_m3_per_d': 51.1831809156, 'name_short': 'Barcelona', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1969.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
Bilbao;Bilbao;['IN_Bilbao', 'GIE_21W0000000000362'];['N_262'];43.467;-3.798;ES;;{'eic_code': '21X000000001352A', 'end_year': 2050, 'facility_code': '21W0000000000362', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 24.10958904109589, 'max_workingGas_M_m3': 293688928.0, 'median_cap_store2pipe_M_m3_per_d': 20.9955689628, 'name_short': 'Bilbao', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2003.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
Cartagena;Cartagena;['IN_Cartagena', 'GIE_21W000000000038Z'];['N_331'];37.624;-0.998;ES;;{'eic_code': '21X000000001254A', 'end_year': 2050, 'facility_code': '21W000000000038Z', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 32.32876712328767, 'max_workingGas_M_m3': 404327144.0, 'median_cap_store2pipe_M_m3_per_d': 35.4294333912, 'name_short': 'Cartagena', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1989.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
DragonLNG;DragonLNG;['IN_DragonLNG'];['N_612'];51.71;-5.03;GB;Milford Haven South Wales;{'eic_code': None, 'end_year': 2050, 'facility_code': None, 'license': None, 'max_cap_store2pipe_M_m3_per_d': 20.82191780821918, 'max_workingGas_M_m3': 208871104.0, 'median_cap_store2pipe_M_m3_per_d': 22.051952278319433, 'name_short': None, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2009.0};{'eic_code': -999, 'end_year': 0, 'facility_code': -999, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.7960084690000001, 'name_short': -999, 'source': 0, 'start_year': 0};{'eic_code': None, 'end_year': 'make_Attrib(const)', 'facility_code': None, 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso', 'name_short': None, 'source': 'raw', 'start_year': 'raw'};{}
Dunkerque;Dunkerque;['IN_Dunkerque', 'GIE_21W0000000000451'];['N_259'];51.033134;2.194792;FR;;{'eic_code': '21X000000001331I', 'end_year': 2050, 'facility_code': '21W0000000000451', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 35.61643835616439, 'max_workingGas_M_m3': 391633320.0, 'median_cap_store2pipe_M_m3_per_d': 49.005373807199994, 'name_short': 'Dunkerque', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2016.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
ElMusel;ElMusel;['IN_ElMusel', 'GIE_21W0000000000338'];['N_335'];43.534;-5.664;ES;Musel;{'eic_code': '18XRGNSA-12345-V', 'end_year': 2050, 'facility_code': '21W0000000000338', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 19.17808219178082, 'max_workingGas_M_m3': 195744536.0, 'median_cap_store2pipe_M_m3_per_d': 10.8607523328, 'name_short': 'Mugardos', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2012.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
FosCavaou;FosCavaou;['IN_FosCavaou', 'GIE_63W943693783886F'];['N_186'];43.45;4.891;FR;;{'eic_code': '21X000000001070K', 'end_year': 2050, 'facility_code': '63W943693783886F', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 45.205479452054796, 'max_workingGas_M_m3': 359033272.0, 'median_cap_store2pipe_M_m3_per_d': 25.0589233512, 'name_short': 'FosCavaou', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2020.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
FosTonkin;FosTonkin;['IN_FosTonkin', 'GIE_63W179356656691A'];['N_186'];43.45;4.891;FR;;{'eic_code': '21X0000000010679', 'end_year': 2050, 'facility_code': '63W179356656691A', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 9.315068493150685, 'max_workingGas_M_m3': 101117848.0, 'median_cap_store2pipe_M_m3_per_d': 9.0411992076, 'name_short': 'FosTonkin', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1972.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
GateRotterdam;GateRotterdam;['IN_GateRotterdam', 'GIE_21W0000000000079'];['N_50'];51.850787;4.739927;NL;Rotterdam;{'eic_code': '21X000000001063H', 'end_year': 2050, 'facility_code': '21W0000000000079', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 43.83561643835616, 'max_workingGas_M_m3': 469959984.0, 'median_cap_store2pipe_M_m3_per_d': 43.461864804, 'name_short': 'RotterdamGate', 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2018.0};{'eic_code': 0, 'end_year': 0, 'facility_code': 0, 'license': -999, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'name_short': 0, 'source': 0, 'start_year': 0};{'eic_code': 'raw', 'end_year': 'make_Attrib(const)', 'facility_code': 'raw', 'license': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
