id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
N_0;N_0;['GB_0'];['N_0'];57.13600455;-2.379727732;GB;None;{};{};{};{}
N_340;N_340;['DE_1'];['N_340'];53.0268;9.022361;DE;None;{};{};{};{}
N_70;N_70;['SK_2'];['N_70'];45.942831;13.619396;SK;None;{};{};{};{}
N_3;N_3;['ES_3'];['N_3'];39.3900748;-3.2100984;ES;None;{};{};{};{}
N_46;N_46;['ES_4'];['N_46'];40.423;-3.691;ES;None;{};{};{};{}
N_6;N_6;['ES_5'];['N_6'];38.711202;-6.382539;ES;None;{};{};{};{}
N_50;N_50;['NL_6'];['N_50'];51.850787;4.739927;NL;None;{};{};{};{}
N_8;N_8;['GB_7'];['N_8'];52.73869018;-1.77561329;GB;None;{};{};{};{}
N_164;N_164;['FR_8'];['N_164'];50.926317;2.315596;FR;None;{};{};{};{}
N_648;N_648;['GB_9'];['N_648'];55.91941138;-3.741778958;GB;None;{};{};{};{}
N_14;N_14;['GB_10'];['N_14'];51.5306638;-2.654260229;GB;None;{};{};{};{}
N_15;N_15;['GB_11'];['N_15'];51.86022749;-0.962549867;GB;None;{};{};{};{}
N_600;N_600;['FR_12'];['N_600'];47.835122;7.596259;FR;None;{};{};{};{}
N_17;N_17;['GB_13'];['N_17'];54.84019;-5.788932;GB;None;{};{};{};{}
N_642;N_642;['ES_14'];['N_642'];41.398;2.174;ES;None;{};{};{};{}
N_536;N_536;['FR_15'];['N_536'];43.34632;3.231472;FR;None;{};{};{};{}
N_23;N_23;['AT_17'];['N_23'];48.316295;16.875328;AT;None;{};{};{};{}
N_599;N_599;['HU_18'];['N_599'];48.546;22.077;HU;None;{};{};{};{}
N_27;N_27;['BE_19'];['N_27'];50.753777;5.739351;BE;None;{};{};{};{}
N_534;N_534;['NL_20'];['N_534'];52.756746;5.050348;NL;None;{};{};{};{}
N_241;N_241;['FR_21'];['N_241'];48.852;2.371;FR;None;{};{};{};{}
N_31;N_31;['GB_22'];['N_31'];54.6707702;-1.565698513;GB;None;{};{};{};{}
N_61;N_61;['DE_23'];['N_61'];50.814223;12.232909;DE;None;{};{};{};{}
N_540;N_540;['FR_25'];['N_540'];47.332;-2.069;FR;None;{};{};{};{}
N_324;N_324;['FR_26'];['N_324'];48.68;6.17;FR;None;{};{};{};{}
N_36;N_36;['GB_27'];['N_36'];54.78735;-4.12912;GB;None;{};{};{};{}
N_233;N_233;['FR_28'];['N_233'];45.646;0.149;FR;None;{};{};{};{}
N_38;N_38;['DE_29'];['N_38'];53.205843;7.229683;DE;None;{};{};{};{}
N_39;N_39;['GB_30'];['N_39'];52.0812606;0.166856789;GB;None;{};{};{};{}
N_41;N_41;['GB_31'];['N_41'];54.10108859;-2.737139207;GB;None;{};{};{};{}
N_634;N_634;['PT_32'];['N_634'];38.532;-8.868;PT;None;{};{};{};{}
N_45;N_45;['GB_35'];['N_45'];51.75082117;0.404054565;GB;None;{};{};{};{}
N_46;N_46;['ES_36'];['N_46'];38.892435;-1.719831;ES;None;{};{};{};{}
N_47;N_47;['GB_37'];['N_47'];52.41508373;-1.27196689;GB;None;{};{};{};{}
N_48;N_48;['PL_38'];['N_48'];52.8814838;20.6197948;PL;None;{};{};{};{}
N_49;N_49;['PL_39'];['N_49'];49.7497638;18.6354709;PL;None;{};{};{};{}
N_50;N_50;['ES_40'];['N_50'];37.886;-4.7803;ES;None;{};{};{};{}
N_186;N_186;['FR_41'];['N_186'];43.45;4.891;FR;None;{};{};{};{}
N_548;N_548;['ES_42'];['N_548'];37.624;-0.998;ES;None;{};{};{};{}
N_549;N_549;['ES_43'];['N_549'];38.959997;-0.616608;ES;None;{};{};{};{}
N_55;N_55;['GB_44'];['N_55'];52.33222249;1.132177892;GB;None;{};{};{};{}
N_608;N_608;['UA_45'];['N_608'];49.8087968;23.6441847;UA;None;{};{};{};{}
N_131;N_131;['AT_46'];['N_131'];48.36;16.42;AT;None;{};{};{};{}
N_562;N_562;['DK_47'];['N_562'];54.80609;9.29094;DK;None;{};{};{};{}
