id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Almeria;Almeria;['IN_Almeria'];['N_237'];36.83;-2.46;DZ;;{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
Alveringem;Alveringem;['IN_Alveringem'];['N_238'];51.0123224;2.7095311;BE;;{'end_year': None, 'license': None, 'pipe_name': 'Alveringem-Maldegem pipeline', 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
Arnoldstein;Arnoldstein;['IN_Arnoldstein'];['N_239'];46.5499903;13.7057619;AT;;{'end_year': None, 'license': None, 'pipe_name': 'medgaz', 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
BackiBreg;BackiBreg;['IN_BackiBreg'];['N_240'];45.9166015;18.9673241;RS;;{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
Badajoz;Badajoz;['IN_Badajoz'];['N_241'];38.87665;-6.9714;ES;;{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
Balassagyarmat;Balassagyarmat;['IN_Balassagyarmat'];['N_242'];48.0711866;19.2937136;UA;;{'end_year': None, 'license': None, 'pipe_name': 'Slovak-Hungarian Gas Interconnector', 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
Balgzand;Balgzand;['IN_Balgzand'];['N_243'];52.8982381;4.845275;NL;;{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
Ballylumford;Ballylumford;['IN_Ballylumford'];['N_17'];54.84019;-5.788932;GB;;{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
Basel;Basel;['IN_Basel'];['N_244'];47.5595986;7.5885761;CH;;{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
Baumgarten;Baumgarten;['IN_Baumgarten'];['N_23'];48.316295;16.875328;AT;;{'end_year': None, 'license': None, 'pipe_name': 'WAG', 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': 0, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
Beregdaroc;Beregdaroc;['IN_Beregdaroc'];['N_25'];48.1985108;22.5320069;HU;;{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': -999, 'license': -999, 'pipe_name': -999, 'source': -999, 'start_year': -999};{'end_year': None, 'license': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
