CompName;AttribName;NumElements;ModelName;NumFeatures;FeatureNames;Plots;NumSamples;NumFill;BIC;MeanAbsError;R_2;R_2_adj;ReplaceType;ModelParam
Compressors;max_cap_M_m3_per_d;237;Lasso;1;"[""max_power_MW""]";./Compressors/AttribRelationPlots/max_cap_M_m3_per_d/max_cap_M_m3_per_d_Lasso (L1O)_max_power_MW.png;10;56;51.88839731;9.217723174;0.970160001;0.966430001;fill;"{""SC_Mean"": [101.17999999999999], ""SC_Scale"": [118.90874484242107], ""Intercept"": 61.691837456507585, ""Coef"": [67.2858406080563]}"
Compressors;max_cap_M_m3_per_d;237;Lasso;1;"[""turbine_power_1_MW""]";./Compressors/AttribRelationPlots/max_cap_M_m3_per_d/max_cap_M_m3_per_d_Lasso (L1O)_turbine_power_1_MW.png;12;28;77.47254625;18.44642685;0.76801248;0.744813727;fill;"{""SC_Mean"": [16.733333333333334], ""SC_Scale"": [13.616018956443261], ""Intercept"": 48.555836051828464, ""Coef"": [39.34253137005493]}"
Compressors;max_cap_M_m3_per_d;237;Lasso;1;"[""num_turb""]";./Compressors/AttribRelationPlots/max_cap_M_m3_per_d/max_cap_M_m3_per_d_Lasso (L1O)_num_turb.png;13;63;88.9357364;20.66954998;0.647257302;0.615189784;fill;"{""SC_Mean"": [3.076923076923077], ""SC_Scale"": [1.2064913185660093], ""Intercept"": 45.58451368612353, ""Coef"": [35.90592313618453]}"
Compressors;max_cap_M_m3_per_d;237;Mean;1;"[""max_cap_M_m3_per_d""]";./Compressors/AttribRelationPlots/max_cap_M_m3_per_d/max_cap_M_m3_per_d_Mean (L1O)_max_cap_M_m3_per_d.png;19;237;162.1659207;53.24170637;0;-0.058823529;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 65.87115789473684, ""Coef"": [0]}"
Compressors;max_power_MW;237;Lasso;1;"[""max_cap_M_m3_per_d""]";./Compressors/AttribRelationPlots/max_power_MW/max_power_MW_Lasso (L1O)_max_cap_M_m3_per_d.png;10;28;62.7410556;15.22793518;0.970188637;0.966462217;fill;"{""SC_Mean"": [61.59599999999999], ""SC_Scale"": [69.07848857640126], ""Intercept"": 101.09386726501802, ""Coef"": [115.97986288766799]}"
Compressors;max_power_MW;237;Lasso;1;"[""turbine_power_1_MW""]";./Compressors/AttribRelationPlots/max_power_MW/max_power_MW_Lasso (L1O)_turbine_power_1_MW.png;11;29;77.9801476;21.70527724;0.892521247;0.880579163;fill;"{""SC_Mean"": [17.681818181818183], ""SC_Scale"": [13.180568906318681], ""Intercept"": 72.84724843854687, ""Coef"": [85.936572289472]}"
Compressors;max_power_MW;237;Mean;1;"[""max_power_MW""]";./Compressors/AttribRelationPlots/max_power_MW/max_power_MW_Mean (L1O)_max_power_MW.png;33;237;287.2638486;42.12341598;1.11E-16;-0.032258065;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 57.445454545454524, ""Coef"": [0]}"
Compressors;max_pressure_bar;237;Lasso;1;"[""max_power_MW""]";./Compressors/AttribRelationPlots/max_pressure_bar/max_pressure_bar_Lasso (L1O)_max_power_MW.png;8;58;39.02436643;9.199766868;0.944192905;0.934891722;fill;"{""SC_Mean"": [94.55], ""SC_Scale"": [104.42746286298447], ""Intercept"": 109.37993615813166, ""Coef"": [37.472868041699336]}"
Compressors;max_pressure_bar;237;Median;1;"[""max_pressure_bar""]";./Compressors/AttribRelationPlots/max_pressure_bar/max_pressure_bar_Median (L1O)_max_pressure_bar.png;18;237;125.1379752;12.5;-0.002171458;-0.064807174;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 100.0, ""Coef"": [0]}"
Compressors;num_turb;237;Median;1;"[""num_turb""]";./Compressors/AttribRelationPlots/num_turb/num_turb_Median (L1O)_num_turb.png;38;237;13.29848342;0.815789474;-0.000537346;-0.02833005;fill;"{""SC_Mean"": [0], ""SC_Scale"": [0], ""Intercept"": 3.0, ""Coef"": [0]}"
