Country;Type;EIC Code;Short Name;Name;nameShort
AT;SSO;21X000000001160J;astora;astora GmbH & Co. KG;astora GmbH & Co. KG
AT;Storage Facility;21W000000000078N;;UGS Haidach (astora);UGS Haidach
AT;SSO;25X-GSALLC-----E;GSA;GSA LLC;GSA LLC
AT;Storage Facility;25W-SPHAID-GAZ-M;;UGS Haidach (GSA);UGS Haidach
AT;SSO;25X-OMVGASSTORA5;OMV Gas Storage;OMV Gas Storage GmbH;OMV Gas Storage GmbH
AT;Storage Group;21W000000000081Y;;VGS OMV Gas Storage Pool (Tallesbrunn & Schoenkirchen / Reyersdorf);Tallesbrunn
AT;SSO;23X----100225-1C;RAG Energy Storage;RAG Energy Storage;RAG Energy Storage
AT;Storage Group;21W000000000079L;;RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, Nussdorf / Zagling);Haidach
AT;SSO;21X000000001127H;Uniper Energy Storage;Uniper Energy Storage GmbH;Uniper Energy Storage GmbH
AT;Storage Facility;21W000000000057V;;UGS 7 Fields (Uniper Energy Storage) - AT;UGS 7 Fields
BE;SSO;21X-BE-A-A0A0A-Y;Fluxys;Fluxys Belgium S.A.;Fluxys Belgium S.A.
BE;Storage Facility;21Z000000000102A;;UGS Loenhout;UGS Loenhout
BG;SSO;21X-BG-A-A0A0A-C;Bulgartransgaz;Bulgartransgaz EAD;Bulgartransgaz EAD
BG;Storage Facility;21W000000000031C;;UGS Chiren;UGS Chiren
CZ;SSO;27XG-RWE-GAS-STI;innogy Gas Storage;innogy Gas Storage, s.r.o.;innogy Gas Storage, s.r.o.
CZ;Storage Group;21W000000000076R;;VGS Innogy Virtual Storage (Haje, Tranovice, Stramberk, Tvrdonice, Dolni Dunajovice, Lobodice);Lobodice
CZ;SSO;27XG-MNDGS-CZ--R;MND Gas Storage;MND Gas Storage a.s.;MND Gas Storage a.s.
CZ;Storage Facility;21W000000000075T;;UGS Uhrice;UGS Uhrice
CZ;SSO;27X-MORAVIAGS--E;Moravia Gas Storage;Moravia Gas Storage a.s.;Moravia Gas Storage a.s.
CZ;Storage Facility;21W000000000102F;;UGS Damborice;UGS Damborice
CZ;SSO;27X-SPPSTORAGE-R;SPP Storage;SPP Storage;SPP Storage
CZ;Storage Facility;21W000000000074V;;UGS Dolni Bojanovice;UGS Dolni Bojanovice
DE;SSO;21X000000001160J;astora (Germany);astora GmbH & Co. KG (Germany);astora GmbH & Co. KG (Germany)
DE;Storage Facility;21W0000000001148;;UGS Jemgum H (astora);UGS Jemgum H
DE;Storage Facility;21Z000000000271O;;UGS Rehden;UGS Rehden
DE;Storage Group;21W0000000001261;;VSP NORD (Rehden, Jemgum);Jemgum
DE;SSO;37X0000000000151;bayernugs;bayernugs GmbH;bayernugs GmbH
DE;Storage Facility;21W0000000000184;;UGS Wolfersberg;UGS Wolfersberg
DE;SSO;37X0000000000224;BES;Berliner Erdgasspeicher GmbH & Co. KG;Berliner Erdgasspeicher GmbH & Co. KG
DE;Storage Facility;21W0000000001083;;UGS Berlin;UGS Berlin
DE;SSO;21X000000001125L;Crystal;Crystal, Friedeburger Speicherbetriebsgesellschaft mbH;Crystal, Friedeburger Speicherbetriebsgesellschaft mbH
DE;Storage Facility;21W000000000013E;;UGS Oude Statenzijl ETZEL Crystal;Oude Statenzijl
DE;SSO;21X0000000011748;DEA Speicher;DEA Speicher GmbH;DEA Speicher GmbH
DE;Storage Facility;21W0000000000192;;UGS Inzenham-West;UGS Inzenham-West
DE;SSO;21X0000000010849;Eneco Gasspeicher;Eneco Gasspeicher BV;Eneco Gasspeicher BV
DE;Storage Facility;21W000000000012G;;UGS Enschede - Epe (Eneco);Epe
DE;SSO;**TOBEPROVIDED**;Enovos Storage;Enovos Storage GmbH;Enovos Storage GmbH
DE;Storage Facility;37Z0000000034538;;UGS Frankenthal;UGS Frankenthal
DE;SSO;21X000000001368W;Equinor Storage Deutschland;Equinor Storage Deutschland GmbH;Equinor Storage Deutschland GmbH
DE;Storage Group;21W000000000100J;;UGS Etzel EGL (Equinor Storage Deutschland);UGS Etzel
DE;SSO;21X0000000011756;EWE Gasspeicher;EWE Gasspeicher GmbH;EWE Gasspeicher GmbH
DE;Storage Facility;21W0000000001075;;UGS EWE-Zone L;Nuettermoor
DE;Storage Facility;21W0000000000508;;UGS Jemgum H (EWE);UGS Jemgum
DE;Storage Facility;PRIOR_EWE_000001;;UGS Nuettermoor H aggregated data prior to 7 April 2016;UGS Nuettermoor
DE;Storage Facility;21W0000000001059;;UGS Nuettermoor H-1;UGS Nuettermoor H-1
DE;Storage Facility;21W000000000104B;;UGS Nuettermoor H-2;UGS Nuettermoor H-2
DE;Storage Facility;21W000000000103D;;UGS Nuettermoor H-3;UGS Nuettermoor H-3
DE;Storage Facility;21W0000000001067;;UGS Nuettermoor L GUD;UGS Nuettermoor L
DE;Storage Facility;21W000000000048W;;UGS Ruedersdorf H;UGS Ruedersdorf H
DE;SSO;21X000000001090E;Gas Union Storage;Gas Union Storage GmbH;Gas Union Storage GmbH
DE;Storage Facility;21W000000000055Z;;UGS Etzel ESE (Gas Union Storage);UGS Etzel
DE;Storage Facility;21W0000000000540;;UGS Reckrod;UGS Reckrod
DE;SSO;21X0000000013805;HanseWerk;HanseWerk AG;HanseWerk AG
DE;Storage Facility;21W000000000058T;;UGS Kiel Roenne (Hansewerk);UGS KielRoenne
DE;Storage Facility;21W000000000020H;;UGS Kraak;UGS Kraak
DE;SSO;21X000000001262B;innogy Gas Storage NWE;innogy Gas Storage NWE GmbH;innogy Gas Storage NWE GmbH
DE;Storage Facility;21W0000000000524;;UGS Epe IGSNWE H Gas (historical data prior to 1 April 2017);UGS Epe
DE;Storage Facility;21W0000000000532;;UGS Epe IGSNWE L Gas;UGS Epe
DE;Storage Facility;21W000000000003H;;UGS Epe NL IGSNWE;UGS Epe
DE;Storage Facility;21W000000000004F;;UGS Kalle IGSNWE;UGS Kalle
DE;Storage Facility;21W0000000000265;;UGS Stassfurt;UGS Stassfurt
DE;Storage Facility;21W0000000000516;;UGS Xanten (historical data prior to 1 April 2017);UGS Xanten
DE;Storage Group;21W000000000121B;;VGS innEXpool;Epe
DE;SSO;21X000000001140P;KGE;Kommunale Gasspeichergesellschaft Epe mbH & Co. KG;Kommunale Gasspeichergesellschaft Epe mbH & Co. KG
DE;Storage Facility;21W000000000097J;;UGS Epe (KGE);UGS Epe
DE;SSO;37X000000000042Z;MND Gas Storage Germany;MND Gas Storage Germany GmbH;MND Gas Storage Germany GmbH
DE;Storage Facility;21W000000000064Y;;UGS Haehnlein (historical data prior to 01/04/2016);UGS Haehnlein
DE;Storage Facility;21W0000000000621;;UGS Stockstadt (historical data prior to 01/04/2016);UGS Stockstadt
DE;Storage Group;37Y000000000386Q;;VGS Zone MND GSG (UGS Stockstadt + UGS Haehnlein);Stockstadt
