long,lat
-117.42,-51.81
-3.0,-47.5
-77.21,39.23
-78.22,38.38
-73.48,41.01
54.62,-68.19
68.07,-59.04
59.72,-66.9
51.86,-67.17
51.86,-67.17
51.86,-67.17
58.18,-68.07
58.45,-58.45
51.9,-59.24
52.12,-59.8
55.42,-67.36
55.42,-67.36
48.3,-64.23
50.54,-61.33
59.63,-58.56
57.39,-68.25
52.43,-59.24
51.86,-64.15
64.69,-57.82
64.69,-57.82
50.49,-65.57
50.41,-63.21
59.81,-68.72
53.96,-68.42
53.96,-68.42
56.87,-67.2
50.71,-60.0
57.44,-67.74
58.67,-67.89
55.77,-58.42
58.84,-68.3
53.13,-60.06
53.53,-67.47
57.39,-68.25
46.32,-63.74
60.56,-58.54
50.41,-63.21
53.04,-64.03
63.24,-57.94
63.5,-35.03
9.67,-32.32
-0.3,17.0
0.7,17.0
-46.49,24.1
-65.79,45.95
-64.78,30.11
-30.0,16.6
-59.6,-41.51
-36.78,7.14
-36.78,7.14
-34.0,7.14
-34.0,7.14
-116.42,-51.81
-4.5,-47.5
-6.0,-47.5
64.5,-35.03
-57.8,25.5
-56.6,25.5
-28.4,14.6
-28.4,14.6
-29.2,16.6
-61.0,-41.51
64.07,-50.49
75.15,-48.95
13.58,-38.0
-0.3,18.6
-13.0,-6.0
-12.0,-6.0
-13.5,-7.62
-36.78,7.14
-36.78,7.14
-34.0,7.14
-34.0,7.14
-36.78,7.14
-36.78,7.14
-34.0,7.14
-34.0,7.14
59.78,49.67
48.6,-69.81
57.08,-67.89
-46.49,24.1
-46.49,24.1
2.02,-18.19
2.02,-18.19
7.331531397,-0.11
7.331531397,-0.11
28.39,-35.28
28.39,-35.28
6.331531397,-0.315312708
6.331531397,-0.315312708
-71.60429156,-42.92644268
-71.60429156,-42.92644268
2.9,-17.48
2.9,-17.48
2.9,-17.48
2.9,-17.48
-57.01497351,53.07633307
67.37664775,58.83322485
-27.16,5.05
-27.16,5.05
33.44,-19.77
33.44,-19.77
41.5,-33.36113153
41.5,-33.36113153
-75.27366803,-40.37586996
-75.27366803,-40.37586996
33.59880753,-42.65809969
50.65161825,-54.2584157
-32.48,9.62
-32.48,9.62
-24.37879756,-20.78965094
-24.37879756,-20.78965094
-24.37879756,-20.78965094
-24.37879756,-20.78965094
5.365679004,-28.3889624
5.365679004,-28.3889624
73.65625386,-53.58456501
14.96837814,-32.05829843
14.96837814,-32.05829843
22.62576034,-21.82729608
22.62576034,-21.82729608
4.39964606,32.83096514
4.39964606,32.83096514
-45.60961575,7.754195854
70.5,-58.75
70.5,-58.75
-88.0,-66.5
4.717999922,-32.84873673
4.717999922,-32.84873673
47.20398154,26.78780989
22.76,-14.77
22.76,-14.77
-113.2708814,-40.99649907
-113.2708814,-40.99649907
57.91951176,44.86563868
57.91951176,44.86563868
53.59798218,35.21226252
53.59798218,35.21226252
37.92546957,-33.13760749
78.59064907,-43.85206356
78.59064907,-43.85206356
79.59064907,-43.85206356
79.59064907,-43.85206356
79.59064907,-43.85206356
-43.5,9.5
-43.5,9.5
-31.53340005,19.20931394
-31.53340005,19.20931394
-110.4564185,-56.73822151
-110.4564185,-56.73822151
-31.6,9.28
-31.6,9.28
-1.63,-20.8
-27.42,6.53
-27.42,6.53
-27.49858307,-5.151453252
6.250138605,-70.30941701
-20.9,18.0
-20.9,18.0
-69.4352403,40.19842031
