id;comment;node_id
TEXT;TEXT;TEXT
[];[];[]
Aberdeen;;Aberdeen
Achim;;Achim
Ajdovscina;;Ajdovscina
AlcazarDeSanJuan;;Alcazar De San Juan
Aleksandrovka;;Aleksandrovka
Algete;;Algete
Almendralejo;;Almendralejo
Alphen;;Alphen
Alrewas;;Alrewas
Ananiev;;Ananiev
ArieuxEnGohelle;;Arieux En Gohelle
Auros;;Auros
AuversLeHanom;;Auvers Le Hanom
Avonbridge;;Avonbridge
Avonmouth;;Avonmouth
Aylesbury;;Aylesbury
Baldenheim;;Baldenheim
Ballylumford;;Ballylumford
Baneras;;Baneras
Bar;Vinnytsia region;Bar
Barbaira;;Barbaira
Bata;;Bata
Bathgate;;Bathgate
Baumgarten; an der March;Baumgarten
Berdichev;;Berdichev
Beregdaroc;;Beregdaroc
Beregovaya;;Beregovaya
Berneau;;Berneau
Beverwijk;;Beverwijk
Beynes;;Beynes
Bibesti;;Bibesti
BishopAuckland;;Bishop Auckland
Bobbau;;Bobbau
Brammer;;Brammer
Breal;;Breal
Breheville;;Breheville
Brighthouse;;Brighthouse
Brizambourg;;Brizambourg
Bunde;;Bunde
Cambridge;;Cambridge
Captiex;;Captiex
Carnforth;;Carnforth
Carregado;;Carregado
ChateauLandon;;Chateau Landon
Chazelles;;Chazelles
Chelmsford;;Chelmsford
Chinchilla;;Chinchilla
Churchover;;Churchover
Ciechanow;;Ciechanow
Cieszyn;;Cieszyn
Cordoba;;Cordoba
Courthezon;;Courthezon
Crevillente;;Crevillente
Denia;;Denia
DierreyStJulien;;Dierrey St Julien
Diss;;Diss
Dolyna;;Dolyna
Drochia;;Drochia
Eggendorf;;Eggendorf
Egtved;;Egtved
Eischleben;;Eischleben
Ellund;Deudan;Ellund
Elten;;Elten
Embsen;;Embsen
Enna;;Enna
EntreDeuxGuiers;;Entre Deux Guiers
Euskadour;;Euskadour
EvryGregy;;Evry Gregy
Felindre;;Felindre
Gallese;;Gallese
Gernsheim;;Gernsheim
Goleniow;;Goleniow
Grafendorf;bei Hartberg;Grafendorf
Griespass;;Griespass
Grijpskerk;;Grijpskerk
Gustorzyn;;Gustorzyn
Gusyatin;;Gusyatin
Haiming;;Haiming
Hajduszoboszlo;;Hajduszoboszlo
Haro;;Haro
HassiRMel;;Hassi R Mel
Hatton;;Hatton
Hespenbusch;;Hespenbusch
Hilvarenbeek;;Hilvarenbeek
HoraSvateKateriny;;Hora Svate Kateriny
Hostim;;Hostim
Huegelheim;;Huegelheim
Huntingdon;;Huntingdon
Hust;;Hust
Ihtiman;;Ihtiman
Imatra;;Imatra
Istrana;;Istrana
Ivasevichi;;Ivasevichi
Jaroslaw;;Jaroslaw
Jauniunai;;Jauniunai
Jeleniow;;Jeleniow
Jupa;;Jupa
Kardam;;Kardam
Kasachya;;Kasachya
Kidricevo;;Kidricevo
Kings;;Kings
KipiEst;;KipiEst
Kipoi;;Kipoi
Kirchberg;Wagram;Kirchberg
Kirovograd;;Kirovograd
Kirriemuir;;Kirriemuir
Kobrin;;Kobrin
Kondratki;;Kondratki
Kouchdiet;;Kouchdiet
Kourim;;Kourim
Kouvola;;Kouvola
Krsilov;;Krsilov
Krummhoern;;Krummhoern
Krupki;;Krupki
LaBegudeDeMazenc;;La Begude De Mazenc
Lanzhot;;Lanzhot
Laprade;;Laprade
Lippe;;Lippe
Lockerley;;Lockerley
Lozenets;;Lozenets
Lubmin;;Lubmin
Malbroghetto;Compressor;Malbroghetto
Mallnow;;Mallnow
Mantsala;;Mantsala
MaraisVernier;;Marais Vernier
Mazerolles;;Mazerolles
Melizzano;;Melizzano
Mellitah;;Mellitah
MerySurCher;;Mery Sur Cher
Messina;;Messina
Minskaya;;Minskaya
MittelbrunnMEGAL;;Mittelbrunn MEGAL
MittelbrunnTENP;;Mittelbrunn TENP
Moffat;;Moffat
Montauban;;Montauban
Montesa;;Montesa
Montesano;;Montesano
Mosonmagyarovar;;Mosonmagyarovar
Navarra;;Navarra
NeaMessimvria;;Nea Messimvria
Nemesbikk;;Nemesbikk
Nesvizh;;Nesvizh
Nozay;;Nozay
Oberkappel;Neustift;Oberkappel
Odolanow;;Odolanow
Olbernhau;;Olbernhau
Olbio;;Olbio
Oldeboorn;;Oldeboorn
Ommen;;Ommen
Orlovka;;Orlovka
Orshan;Orsha;Orshan
Oslavou;;Oslavou
Palleau;;Palleau
Paterna;;Paterna
Peterborough;;Peterborough
Petrich;;Petrich
Pitgam;;Pitgam
Pnevezys;;Pnevezys
Podisor;;Podisor
PoggioRenatico;;Poggio Renatico
PolskiSenovets;;Polski Senovets
Portovaya;Portovaya Bay /Vyborg;Portovaya
Porz;;Porz
Provadiya;;Provadiya
Puertollano;;Puertollano
PuthSchinnen;;PuthSchinnen
Radeland;Baruth;Radeland
Rainbach;im Muhlkreis;Rainbach
Ravenstein;;Ravenstein
Reckrod;;Reckrod
Rehden;;Rehden
Rimpar;;Rimpar
Rixfeld;Herbstein;Rixfeld
Rohatyn;;Rohatyn
Rososh;;Rososh
Rothenstadt;;Rothenstadt
Roussines;;Roussines
Ruden;;Ruden
Rueckersdorf;;Rueckersdorf
Russkaya;;Russkaya
Ruswil;;Ruswil
SanSalvoFlumeTreste;;San Salvo Flume Treste
Sayda;;Sayda
Scheemda;;Scheemda
Schwarzach;;Schwarzach
Scunthorpe;;Scunthorpe
Sergnano;;Sergnano
Settala;;Settala
Sevilla;;Sevilla
Silistea;;Silistea
Slavyanskaya;Ust-Luga port;Slavyanskaya
Slonim;;Slonim
Smolensk;;Smolensk
Spijk;;Spijk
StArnoultDesBois;;St Arnoult Des Bois
Stavischenskaya;;Stavischenskaya
StFergusC1;;St Fergus C1
StFergusC2;;St Fergus C2
StMartinDeCrau;;St Martin De Crau
Stolberg;Schwarzenbruch;Stolberg
Strandja;;Strandja
StutenseeBlankenloch;;Stutensee Blankenloch
StVictor;;St Victor
Szamotuly;;Szamotuly
Talnoe;;Talnoe
Tarsia;;Tarsia
TerranuovaBracciolini;Terranuova Bracciolini;Terranuova Bracciolini
Tivisa;;Tivisa
Toulouse;;Toulouse
ValchiDol;;Valchi Dol
Varosfoeld;;Varosfoeld
VelikaLudina;;Velika Ludina
VelkeKapusany;;Velke Kapusany
VeseliNadLuznici;;Veseli Nad Luznici
VillarDeArnedo;;Villar De Arnedo
Vindecy;;Vindecy
Voisines;;Voisines
Volovets;;Volovets
Vulkaneshty;;Vulkaneshty
Waidhaus;;Waidhaus
Wardenburg;;Wardenburg
Warrington;;Warrington
Weeide;;Weeide
Weisweiler;;Weisweiler
Weitendorf;;Weitendorf
Wieringermeer;;Wieringermeer
Wildenranna;;Wildenranna
Winksele;;Winksele
Wisbech;;Wisbech
Wloclawek;;Wloclawek
Wooler;;Wooler
Wormington;;Wormington
Zambrow;;Zambrow
Zamora;;Zamora
Zaragoza;;Zaragoza
Zelzate;;Zelzate
Zweekhorst;;Zweekhorst
