name;comment;element_type;country;lat;long;exact;start;stop;source;energy_elect_MW;energy_therm_MW;fuel_type_1;fuel_type_2; 
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[MW];[MW];[str];[str]; 
Ruien Thermal Power Plant Belgium;GEO_41974;{K};Belgien;50.7836;3.4904;1;1966;;http://globalenergyobservatory.org/select.php;889;;Coal;Natural Gas; 
Langerlo Thermal Power Plant Belgium;GEO_41965;{K};Belgien;50.9405;5.4906;1;;;http://globalenergyobservatory.org/select.php;556;;Coal;Natural Gas; 
Drogenbos CCGT Power Plant Belgium;GEO_41953;{K};Belgien;50.8023;4.299;1;;;http://globalenergyobservatory.org/select.php;538;;Natural Gas;; 
Brugge-Herdersbrug CCGT Power Plant Belgium;GEO_41950;{K};Belgien;51.2629;3.2112;1;1998;;http://globalenergyobservatory.org/select.php;460;;Natural Gas;Fuel Oil; 
Seraing CCGT Power Plant Belgium;GEO_41967;{K};Belgien;50.603;5.4917;1;1994;;http://globalenergyobservatory.org/select.php;460;;Natural Gas;; 
Amercoeur CCGT Power Plant Belgium;GEO_41947;{K};Belgien;50.4304;4.3955;1;2010;;http://globalenergyobservatory.org/select.php;420;;Natural Gas;; 
Marcinelle Energie (Carsid) CCGT Power Plant Belgium;GEO_41970;{K};Belgien;50.4138;4.4067;1;2011;;http://globalenergyobservatory.org/select.php;410;;Natural Gas;; 
Awirs 4 and 5 thermal Power Plant Belgium;GEO_41954;{K};Belgien;50.5851;5.418;1;2005;;http://globalenergyobservatory.org/select.php;389;;Natural Gas;Wood Waste; 
Vilvoorde (Verbrande-Brug) CCGT Power Plant Belgium;GEO_41969;{K};Belgien;50.9414;4.4246;1;2001;;http://globalenergyobservatory.org/select.php;385;;Natural Gas;; 
Ringvaart CCGT Power Plant Belgium;GEO_41949;{K};Belgien;51.1049;3.7257;1;1998;;http://globalenergyobservatory.org/select.php;359;;Natural Gas;Fuel Oil; 
Knippegroen CCGT Power Plant Belgium;GEO_41973;{K};Belgien;51.1587;3.8068;1;2010;;http://globalenergyobservatory.org/select.php;350;;;; 
Saint-Ghislain CCGT Power Plant Belgium;GEO_41948;{K};Belgien;50.4719;3.8248;1;2000;;http://globalenergyobservatory.org/select.php;350;;Natural Gas;Fuel Oil; 
Kallo Thermal Power Plant Belgium;GEO_41966;{K};Belgien;51.2577;4.2941;1;1972;;http://globalenergyobservatory.org/select.php;261;;Natural Gas;; 
Angleur Gas Power Plant Belgium;GEO_41976;{K};Belgien;50.6177;5.5837;1;;;http://globalenergyobservatory.org/select.php;238;;Natural Gas;; 
Ham (Ghent) OCGT and Heat Power Plant Belgium;GEO_41975;{K};Belgien;51.0596;3.7364;1;1993;;http://globalenergyobservatory.org/select.php;156;;Natural Gas;; 
ExxonMobil Antwerp Refinery CHP Power Plant Belgium;GEO_41968;{K};Belgien;51.2565;4.3383;1;2009;;http://globalenergyobservatory.org/select.php;130;;Natural Gas;; 
Skaerbaek CHP Power Plant Denmark;GEO_44237;{K};Daenemark;55.5118;9.6148;1;1997;;http://globalenergyobservatory.org/select.php;392;444;Natural Gas;Fuel Oil; 
HC Orsted CHP Power Plant Denmark;GEO_44235;{K};Daenemark;55.6761;12.56834;1;1984;;http://globalenergyobservatory.org/select.php;185;885;Natural Gas;Fuel Oil; 
Herning CHP Power Plant Denmark;GEO_44236;{K};Daenemark;56.1214;9.0068;1;1982;;http://globalenergyobservatory.org/select.php;95;0;Biomass (wood chips and pellets);Natural Gas; 
Svanemolle CHP Power Plant Denmark;GEO_44234;{K};Daenemark;55.7131;12.588;1;1995;;http://globalenergyobservatory.org/select.php;81;355;Natural Gas;Fuel Oil; 
Weisweiler Coal Power Plant Germany;GEO_44318;{K};Deutschland;50.8387;6.3219;1;1955;2000;http://globalenergyobservatory.org/select.php;2180;;Coal Lignite;Natural Gas; 
