id;comment;node_id
TEXT;TEXT;TEXT
[];[];[]
Almeria;;Almeria
Balgzand;;Balgzand
Beregdaroc;;Beregdaroc
Budince;;Budince
Cordoba;;Cordoba
Dornum;;Dornum
Drozdwicze;;Drozdwicze
Dunkerque;;Dunkerque
Emden;;Emden
Gela;;Gela
Greifswald;;Greifswald
Imatra;;Imatra
Isaccea;;Isaccea
Kipoi;Border Crossing Point;Kipoi
Komotini;;Komotini
Kondratki;;Kondratki
Korneti;;Korneti
Kotlovka;;Kotlovka
MazaraDelVallo;;Mazara Del Vallo
MediesuAurit;;Mediesu Aurit
Narva;;Narva
Nybro;;Nybro
Sakiai;;Sakiai
StFergusE1;;St Fergus E1
StFergusE2;;St Fergus E2
Vaerska;;Vaerska
Wysokoje;;Wysokoje
ZaharaDeLosAtunes;;Zahara De Los Atunes
Zeebrugge;;Zeebrugge
MericNehri;;Meric Nehri
Easington;;Easington
Bacton;;Bacton
Theddlethorpe;;Theddlethorpe
Herbrandston;;Herbrandston
Burton_Point;;Burton Point
Teesside;;Teesside
Gateway;;Gateway
