id;comment;node_id
TEXT;TEXT;TEXT
[];[];[]
Alexandroupolis;;Alexandroupolis
Barcelona;;Barcelona
Bilbao;;Bilbao
Brunnsviksholme;;Brunnsviksholme
Cartagena;;Cartagena
Delimara;Malta;Delimara
DragonLNG;Milford Haven South Wales;Dragon
Dunkerque;;Dunkerque
ElFerrol;;El Ferrol
ElMusel;Musel;El Musel
FosCavaou;;Fos Cavaou
FosTonkin;;Fos Tonkin
GateRotterdam;Rotterdam;Gate Rotterdam
Gothenburg;;Gothenburg
Huelva;;Huelva
IsleOfGrain;Isle_of_Grain Kent;Isle Of Grain
Klaipeda;;Klaipeda
MontoirDeBretagne;;Montoir De Bretagne
Tallinn;Tallinn;Tallinn
Nynashamm;;Nynashamm
Paldiski;;Paldiski
Panigaglia;;Panigaglia
Pori;;Pori
PortoLevante;;Porto Levante
Revithoussa;Greece;Revithoussa
Riga;;Riga
Sagunto;;Sagunto
Sines;;Sines
SouthHook;Milford HavenSouth Wales;South Hook
Swinoujscie;;Swinoujscie
Toscana;;Toscana
Zeebrugge;;Zeebrugge
