id;comment;country;lat;long;exact
TEXT;TEXT;TEXT;REAL;REAL;REAL
[];[];[];[deg];[deg];[]
Hassi R Mel;;AG;32.9349916;3.2684215;2
Kouchdiet;;AG;36.936721;8.642711;2
Albania - Kosovo Gas Pipeline (ALKOGAP);;AL;42.26;20.4;5
Bilisht Qendr;;AL;40.581944;21.000003;1
Topoje;;AL;40.7918;19.4504;2
UGS Dumrea;;AL;40.98;19.68;5
7Fields;Storage Capacity connected to Germany and Austria;AT;47.962006;13.356863;1
Aigelsbrunn;;AT;47.981978;13.312084;1
Arnoldstein;Schiebestation;AT;46.5499903;13.7057619;2
Bad Leonfelden;Bad Leonfelden;AT;48.521;14.292;2
Basel;;CH;47.5595986;7.5885761;3
Baumgarten;Baumgarten an der March;AT;48.316295;16.875328;1
Deutsch Jahndorf;Deutsch Jahndorf;AT;48.01;17.107;2
Eggendorf;;AT;47.874784;16.324289;1
Enzersfeld;;AT;48.36;16.42;2
Grafendorf;bei Hartberg;AT;47.3404037;15.9911036;2
Haidach;Storage Capacity solely connected to Germany;AT;47.9867;13.232375;1
Insbruck;;AT;47.277;11.409;2
Kirchberg;Wagram;AT;48.4319861;15.8974939;2
Kittsee;;AT;48.09;17.068;2
Lichtenau;;AT;48.502;15.379;2
March;;AT;47.32;13.06;4
Murfeld;;AT;46.71;15.67;2
Nussdorf Zagling;;AT;47.962013;13.356362;1
Oberkappel;Neustift;AT;48.55443;13.751863;1
Puchkirchen;Puchkirchen/Haag GCV 11,31;AT;48.015746;13.572981;1
Rainbach;im Muhlkreis;AT;48.541365;14.489137;1
Ruden;;AT;46.674191;14.756849;1
Schoenkirchen Reyersdorf;;AT;48.376237;16.69966;1
Tallesbrunn;;AT;48.355222;16.778209;1
Thann;OberAT;AT;48.161;14.427;4
Ueberackern;;AT;48.1928972;12.8747485;3
Weitendorf;TAG-Weitendorf;AT;46.8798;15.472946;1
Posusje;;BA;43.46;17.34;5
Trzac;;BA;44.9976747;15.7846558;3
Alveringem;;BE;51.0123224;2.7095311;3
Anderlues;;BE;50.405551;4.283494;2
Berneau;;BE;50.753777;5.739351;1
Dilsen;;BE;51.03747;5.72215;3
Eynatten;;BE;50.7;6.09;2
Gravenvoeren;;BE;50.7587829;5.7611628;3
Loenhout;;BE;51.386993;4.703353;1
Maldegem;;BE;51.192;3.46;2
Mons;;BE;50.44787;3.97037;2
Nesvish;;BE;53.2247;26.6765;3
Raeren;;BE;50.6770198;6.1097331;3
Slonim;;BE;53.0933;25.31367;3
Weeide;;BE;51.3022166;4.4114244;2
Winksele;;BE;50.8974666;4.6435179;2
Zeebrugge;;BE;51.323;3.213;2
Zelzate;;BE;51.191166;3.827686;1
Chiren;;BG;43.349887;23.592123;1
Constanta (White Stream);;BG;44.18;28.61;5
Galata;;BG;43.186113;28.205624;2
Ihtiman;;BG;42.4382418;23.8161718;2
Interconnector BG RS;;BG;43.08;27.92;5
Interconnector ITB (Turkey - Bulgaria) (BG>TR);;BG;42.19;27.82;5
Kardam;;BG;43.7538009;28.1079003;2
Kulata;;BG;41.3875814;23.3632506;3
Kyustendil;;BG;42.2868817;22.6939308;3
Lozenets;;BG;42.2082646;27.8066174;2
Malkoclar;;BG;42.04;27.01;2
Oryahovo;;BG;43.7;23.96;5
Petrich;;BG;41.3981081;23.2066849;2
Polski Senovets;;BG;43.156944;25.3000001;2
Provadiya;;BG;43.177032;27.4405725;2
Russe;;BG;43.848;25.976;2
Stara Zagora - IGB / BG;;BG;42.59;27.56;5
Strandja;;BG;42.0125;27.608611;2
Valchi Dol;;BG;43.4055329;27.5511887;2
Ivasevichi;;BY;52.7079632;25.3353752;2
Kobrin;;BY;52.2141109;24.3581792;2
Krupki;;BY;54.3269605;29.1426031;2
Minskaya;;BY;54.126352;27.995055;3
Mozyrskoye;;BY;52.519;31.01;5
Nesvizh;;BY;53.2226038;26.6766138;2
Orshan;Orsha;BY;54.5071478;30.4119546;2
Wysokoje;;BY;52.3696;23.371;3
Osipovichskoye;;BY;53.373;28.517;5
Pribugskoye;;BY;52.144;23.848;5
Slonim;;BY;53.0875127;25.3087192;2
Fallentor;;CH;47.658044;8.6948726;3
Lostorf;Lostorf (SO);CH;47.386;7.946;2
Ruswil;Ruswil;CH;47.079;8.133;2
Cyprus;;CY;35.08178;33.3675;3
Terminal 2 Vassiliko - Lemesos Port;;CY;34.65;33.01;5
Brandov;HoraSvKaterinyBrandow/Olbernhau;CZ;50.635;13.39;2
Breclav;;CZ;48.75314;16.8825169;2
Damboice;;CZ;49.054629;16.91432;1
Dolni Bojanovice;;CZ;48.871374;17.028471;1
Dolni Dunajovice;;CZ;48.872481;16.609626;1
Gebirgsneudorf;Extra;CZ;50.5859;13.441;2
HJe;;CZ;49.657311;14.048542;1
Hora Svate Kateriny;;CZ;50.602016;13.450129;1
Hospozin;;CZ;50.312;14.17;2
Hostim;;CZ;49.0055;15.879424;1
Kiskundorozsma;;CZ;46.2730809;20.063011;3
Kourim;;CZ;50.016479;14.930975;1
Kralice;;CZ;49.1992726;16.2015641;2
Lanzhot;;CZ;48.734049;16.974274;1
Lobodice;;CZ;49.401112;17.298313;1
Malesovice;;CZ;49.021483;16.489006;1
Oslavou;;CZ;49.2054564;16.1557447;2
Postorna / Reintal;;CZ;48.7;16.8;5
Ron;;CZ;49.495061;16.215328;1
Rozvadov;;CZ;49.663384;12.549857;1
Stramberk;;CZ;49.593694;18.091711;1
Tranovice;;CZ;49.714948;18.531823;1
Tvrdonice;;CZ;48.780688;16.936667;1
Uhrice;;CZ;49.036809;16.933182;1
Veseli Nad Luznici;;CZ;49.209068;14.685073;1
Achim;;DE;53.0092;9.0510401;2
Ahlten;;DE;52.369564;9.924374;1
Allmenhausen;;DE;51.219587;10.702464;1
Ascha;;DE;49.03316548;12.60422323;2
Au am Rhein;Au am Rhein;DE;48.953;8.24;2
Bad Lauchstaedt;Teutschenthal;DE;51.430367;11.833526;1
Bad Salzuflen;Bad Salzuflen;DE;52.068;8.775;2
Bergisch Paffrath;Bergisch-Paffrath;DE;50.998;7.101;2
Berlin;;DE;52.513276;13.224641;1
Bernau;;DE;52.688;13.59;3
Bernburg;;DE;51.750148;11.741609;1
Bierwang;;DE;48.127548;12.402956;1
Bobbau;;DE;51.703309;12.251789;1
Bocholtz-Vetschau;;DE;50.817008;6.022739;1
Boerslingen;;DE;48.545;140.0581;3
Bonn;;DE;50.7374;7.138311;2
Bornicke;;DE;52.6625882;13.6406119;2
Brammer;;DE;52.969855;9.346443;1
Breitbrunn;;DE;47.922265;12.433821;1
Bruggraf Bernsdorf;;DE;51.207898;11.479785;1
Buchholz;;DE;52.174964;12.926628;1
Bunde;;DE;53.205843;7.229683;1
Burghausen;;DE;48.17;12.826;2
Deggendorf;;DE;48.847259;12.95429;2
Deutschneudorf;;DE;50.621;13.473;2
Doetlingen;;DE;52.944924;8.355847;1
Dornum;Emden;DE;53.66;7.404;2
Drohne;;DE;52.429729;8.354677;1
Duerrengleina;Duerrengleina, Milda;DE;50.856735;11.553175;1
Ehingen;;DE;48.31907747;9.803236305;2
Eischleben;;DE;50.902646;11.006814;1
Ellund;Deudan;DE;54.801913;9.289;1
EllundDE;;DE;54.801878;9.289041;1
Elsfleth;;DE;53.194313;8.400715;1
Elten;;DE;51.897037;6.144031;1
Embsen;;DE;53.0268;9.022361;1
Emden;;DE;53.3594029;7.2060095;2
Empelde;;DE;52.339624;9.650892;1
Emsbueren;;DE;52.3926684;7.2926853;3
Enschede - Epe;;DE;52.18;7.00616;3
Epe (KGE);;DE;52.176;7.1;3
Epe (Nuon);;DE;52.176;7.00616;2
Epe IGSNWE L;;DE;52.176;7.05;3
Epe Trianel;;DE;52.176;7.00616;2
Epe Uniper H-Gas;;DE;52.177;7.05;3
Epe Uniper L-Gas;;DE;52.178;7.05;3
EpeH;;DE;52.175948;7.006152;1
EpeL;;DE;52.17595;7.00616;1
Eschenfelden;;DE;49.5845;11.6307;1
Etzel;;DE;53.461064;7.912085;1
Euskirchen;;DE;50.6325222;6.8003932;2
EWE-Zone L;;DE;52.17;7.00616;3
Finsing;;DE;48.223;11.798;2
Fockbek;Molchstation  Fockbek;DE;54.3;9.6;2
Folmhusen;;DE;53.17366;7.496896;1
Forchheim;;DE;48.826787;11.683951;2
Frankenthal;;DE;49.555408;8.409677;1
Fronhofen;;DE;47.851208;9.414961;1
Gernsheim;;DE;49.743662;8.55088;1
Gerstein;Hamm-Werne;DE;51.65;7.64;2
Greifswald;;DE;54.716599;13.3923414;2
GrossKoeris;Gross Koeris;DE;52.164;13.663;2
Grotegaste;;DE;53.17;7.39;3
Haehnlein;;DE;49.7458;8.554382;1
Haiming;;DE;48.193991;12.851803;1
Hamburg;;DE;53.561;10.011;2
Hamm;;DE;51.66079;7.80104;2
Harsefeld;;DE;53.435469;9.482867;1
Heidenau;;DE;53.4734264;9.636613174;2
Herchenrode;;DE;49.76;8.7;4
Hespenbusch;Hespenbusch/Doetlingen;DE;52.945102;8.30882;1
Hirschberg;;DE;50.12805856;6.951199801;3
Huegelheim;;DE;47.835122;7.596259;1
Hugelheim;;DE;47.8302767;7.6210786;3
Huntorf;;DE;53.19421;8.400683;1
IGSNWE;;DE;52.175948;7;3
Inzenham;;DE;47.8808712;12.2282127;3
Inzenham West;;DE;47.887547;12.103307;2
Jemgum;The initial gas filling started in September 2013, first commercial operations were conducted in 2014/15.;DE;53.253484;7.388862;1
Kalle;;DE;53.253484;7.388862;1
Karlsruhe;;DE;49.01378;8.404;2
Katharina;;DE;51.748403;11.742807;1
Kiefersfelden;;DE;47.6181459;12.1868662;3
Kiel Roenne;;DE;54.266597;10.200844;1
Kienbaum;;DE;52.4483075;13.9567212;2
Kirchheilingen;;DE;51.219587;10.702464;1
Kraak;;DE;53.422766;11.360765;2
Krummhoern;;DE;53.36059;7.065929;1
