acronyme;license_name;definition;source;user
ODbL;Open Database License (ODbL) 1.0;https://opendatacommons.org/licenses/odbl/1.0/;OSM;???
Internet;;;;???
OpenGridEurop;Open Grid Europ Gas Net;;;???
DMCA1998;The Digital Millennium Copyright Act of 1998;;;???
Snam;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;???
MIT;MIT License;;;???
AL20;Apache License, Version 2.0;;;???
CCBY40;Creative Comms Attribute 4.0 International License;;;???
Wikipedia;;;;???
theodora;;;https://theodora.com/pipelines/france_and_belgium_pipelines.html;???
Fluxys;;;https://www.fluxys.com/belgium/en/about%20fluxys/infrastructure/network/network;???
GasCade;;;https://www.gascade.de/netzinformationen/unser-leitungsnetz/stegal/;???
EMPL;;;http://www.emplpipeline.com/en/the-gas-pipeline/;???
EuroPipe;;;https://www.europipe.com/de/impressum-de/;???
Habau;;;https://www.habau.at/de/projekte/erdgasleitung-wag-plus-600-phase-1;???
Presse;;;;???
