name;comment;element_type;country;lat;long;exact;start;stop;source;capacity_E_MW;capacity_TH_MW;fuel1;fuel2;fuel3;fuel4;owner;gppd_idnr;url;geolocation_source;year_of_capacity_data;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;estimated_generation_gwh
[str];[str];[str];[str];[deg];[deg];[boolean];[yyyy];[yyyy];[str];[double];[double];[str];[str];[str];[str];[str];[str];[str];[str];[yyyy];[GWh];[GWh];[GWh];[GWh];[GWh]
Simmering;;{J};Austria;48.1815;16.4334;1;2009;;Wien Energie;1272;;Gas;;;;Wien Energie;WRI1019147;http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51719;WRI;;;;2429.57;;3323.692308
Timelkam;;{J};Austria;48.0122;13.5895;1;2008;;Energie AG;400;;Gas;;;;Energie AG Ober«Ùsterreich;WRI1019163;http://www.energieag.at/eag_at/resources/595372694787137362_954827377953737077_8fJ7tSkK.pdf;GEODB;;;;452;;1045.18626
Donaustadt;;{J};Austria;48.2;16.4633;1;2001;;Wien Energie;395;;Gas;;;;Wien Energie;WRI1019146;http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51721;WRI;;;;1073.51;;1032.121432
DROGENBOS TGV;;{J};Belgium;50.8023;4.299;1;;;ELIA Belgian Grid Operator;465;;Gas;;;;;WRI1002226;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;790.253;;2326.567768
HERDERSBRUG STEG;;{J};Belgium;51.2629;3.2112;1;1998;;ELIA Belgian Grid Operator;465;;Gas;;;;;WRI1002234;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;929.103;;2326.567768
Amercoeur 1 R TGV;;{J};Belgium;50.4304;4.3955;1;1994;;ELIA Belgian Grid Operator;451;;Gas;;;;;WRI1002207;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;2408.374;;2256.520566
T-power Beringen;;{J};Belgium;51.0586;5.1056;1;2011;;ELIA Belgian Grid Operator;422;;Gas;;;;;WRI1002271;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;WRI;;;;2203.896;;2111.422792
Marcinelle Energie (Carsid);;{J};Belgium;50.4138;4.4067;1;2011;;ELIA Belgian Grid Operator;405;;Gas;;;;;WRI1002258;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;1150.449;;2026.365475
RINGVAART STEG;;{J};Belgium;51.1049;3.7257;1;1998;;ELIA Belgian Grid Operator;357;;Gas;;;;;WRI1002264;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;1591.791;;1786.203641
SAINT-GHISLAIN STEG;;{J};Belgium;50.4719;3.8248;1;2000;;ELIA Belgian Grid Operator;350;;Gas;;;;;WRI1002267;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;1328.093;;1751.18004
Zelzate 2 Knippegroen;;{J};Belgium;51.1587;3.8068;1;2010;;ELIA Belgian Grid Operator;315;;Gas;;;;;WRI1002288;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;2084.472;;1576.062036
INESCO WKK;;{J};Belgium;51.2198;4.3266;1;;;ELIA Belgian Grid Operator;138;;Gas;;;;;WRI1002244;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;695.712;;690.4652731
ANGLEUR TG 41;;{J};Belgium;50.6177;5.5837;1;;;ELIA Belgian Grid Operator;128;;Gas;;;;;WRI1002208;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;;;640.4315577
LANGERLO 4 REPOWERING;;{J};Belgium;50.934;5.4784;1;;;ELIA Belgian Grid Operator;86;;Gas;;;;;WRI1002255;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;430.2899528
HAM-GENT WKK;;{J};Belgium;51.05;3.7167;1;2006;;ELIA Belgian Grid Operator;52;;Gas;;;;;WRI1002231;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;260.1753203
DROGENBOS GT0;;{J};Belgium;50.8023;4.299;1;;;ELIA Belgian Grid Operator;48;;Gas;;;;;WRI1002225;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;;;240.1618341
Aalst Syral GT;;{J};Belgium;50.936;4.0355;1;;;ELIA Belgian Grid Operator;43;;Gas;;;;;WRI1002204;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;215.1449764
Zwijndrecht Lanxess GT;;{J};Belgium;51.2382;4.3408;1;;;ELIA Belgian Grid Operator;43;;Gas;;;;;WRI1002290;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;215.1449764
Zeebrugge 2 Fluxys;;{J};Belgium;51.329;3.1819;1;;;ELIA Belgian Grid Operator;40;;Gas;;;;;WRI1002285;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;200.1348618
Beveren Ineos Phenolchemie;;{J};Belgium;51.2119;4.2563;1;;;ELIA Belgian Grid Operator;22.8;;Gas;;;;;WRI1002214;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;114.0768712
Zwijndrecht Lanxess ST;;{J};Belgium;51.2382;4.3408;1;;;ELIA Belgian Grid Operator;15;;Gas;;;;;WRI1002291;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;75.05057316
Aalst Syral ST;;{J};Belgium;50.936;4.0355;1;;;ELIA Belgian Grid Operator;5;;Gas;;;;;WRI1002205;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;CARMA;;;;;;25.01685772
DROGENBOS DM 51;;{J};Belgium;50.8023;4.299;1;;;ELIA Belgian Grid Operator;5;;Gas;;;;;WRI1002224;http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815;GEODB;;;;;;25.01685772
Zagreb Te-To CHP Power Plant Croatia;;{J};Croatia;45.7816;16.0169;1;;;GEODB;328;;Gas;;;;;GEODB0044823;http://globalenergyobservatory.org;GEODB;2017;;;;;564.895153
Osijek TE-TO CHP Power Plant Croatia;;{J};Croatia;45.542;18.7449;1;;;GEODB;89;;Gas;;;;;GEODB0044826;http://globalenergyobservatory.org;GEODB;2017;;;;;153.2794775
Zagreb El-To CHP Power Plant Croatia;;{J};Croatia;45.8069;15.9498;1;;;GEODB;86.8;;Gas;;;;;GEODB0044824;http://globalenergyobservatory.org;GEODB;2017;;;;;149.4905466
Jertovec CCGT Power Plant Croatia;;{J};Croatia;46.0386;16.1814;1;;;GEODB;78;;Gas;;;;;GEODB0044825;http://globalenergyobservatory.org;GEODB;2017;;;;;134.334823
Skaerbaekvaerket;;{J};Denmark;55.513;9.6128;1;1997;;ENTSOE;392;;Gas;;;;;WRI1022034;https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show;WRI;;;;601.834;;1438.935201
H.C. «ü”?rsted;;{J};Denmark;55.6761;12.5683;1;;;Dong Energy;98;;Gas;;;;;WRI1022043;http://www.dongenergy.com/en/our-business/bioenergy-thermal-power/where-we-operate;GEODB;;;;;;359.7338004
