id;name;node_id;meta_id
REAL;TEXT;TEXT;TEXT
[];[];[];[]
1;AlcazarDeSanJuan_Chinchilla;Alcazar De San Juan;AlcazarDeSanJuan_Chinchilla
2;AlcazarDeSanJuan_Chinchilla;Chinchilla;AlcazarDeSanJuan_Chinchilla
3;AlcazarDeSanJuan_Madrid;Alcazar De San Juan;AlcazarDeSanJuan_Madrid
4;AlcazarDeSanJuan_Madrid;Madrid;AlcazarDeSanJuan_Madrid
5;Alessandria_Cortemaggiore;Cortemaggiore;Alessandria_Cortemaggiore
6;Alessandria_Cortemaggiore;Alessandria;Alessandria_Cortemaggiore
7;Almendralejo_Badajoz;Almendralejo;Almendralejo_Badajoz
8;Almendralejo_Badajoz;Badajoz;Almendralejo_Badajoz
9;Almendralejo_Zamora;Almendralejo;Almendralejo_Zamora
10;Almendralejo_Zamora;Zamora;Almendralejo_Zamora
11;Altamura_Candela;Candela;Altamura_Candela
12;Altamura_Candela;Altamura;Altamura_Candela
13;Altamura_Latiano;Latiano;Altamura_Latiano
14;Altamura_Latiano;Altamura;Altamura_Latiano
15;Altamura_MonteAlpi;Monte Alpi;Altamura_MonteAlpi
16;Altamura_MonteAlpi;Altamura;Altamura_MonteAlpi
17;Altamura_Palagiano;Palagiano;Altamura_Palagiano
18;Altamura_Palagiano;Altamura;Altamura_Palagiano
19;Angouleme_Roussines;Angouleme;ExtraWithHand
20;Angouleme_Roussines;Roussines;ExtraWithHand
21;Arad_Szeged;Arad;Arad_Szeged
22;Arad_Szeged;Szoreg;Arad_Szeged
23;Arnoldstein_Tarvisio_Extra;Tarvisio;Arnoldstein_Tarvisio_Extra
24;Arnoldstein_Tarvisio_Extra;Arnoldstein;Arnoldstein_Tarvisio_Extra
25;ArtereDeLAdour;San Sebastian;ArtereDeLAdour
26;ArtereDeLAdour;Bayonne;ArtereDeLAdour
27;Badajoz_Leiria;Badajoz;Badajoz_Leiria
28;Badajoz_Leiria;Leiria;Badajoz_Leiria
29;BBL;Bacton;BBL
30;BBL;Wieringermeer;BBL
31;Benevento_Biccari;Biccari;Benevento_Biccari
32;Benevento_Biccari;Benevento;Benevento_Biccari
33;Bernalda_Grumento;Grumento;Bernalda_Grumento
34;Bernalda_Grumento;Bernalda;Bernalda_Grumento
35;Berneau_Eynatten;Berneau;Berneau_Eynatten
36;Berneau_Eynatten;Eynatten;Berneau_Eynatten
37;Beziers_Lacq;Beziers;Beziers_Lacq
38;Beziers_Lacq;Lacq;Beziers_Lacq
39;BGTP;Belfast;BGTP
40;BGTP;Ballylumford;BGTP
