id;comment;comp_id;start_year;end_year;source;license;operator_name;pipe_name;is_H_gas;max_cap_M_m3_per_h;max_pressure_bar;max_power_MW;num_turb;turbine_fuel_isGas_1;turbine_type_1;turbine_power_1_MW;turbine_fuel_isGas_2;turbine_type_2;turbine_power_2_MW;turbine_fuel_isGas_3;turbine_type_3;turbine_power_3_MW;turbine_fuel_isGas_4;turbine_type_4;turbine_power_4_MW;turbine_fuel_isGas_5;turbine_type_5;turbine_power_5_MW;turbine_fuel_isGas_6;turbine_type_6;turbine_power_6_MW
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;TEXT;INT;REAL;REAL;REAL;INT;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL;INT;TEXT;REAL
[];[];[];[YYYY];[YYYY];[];[];[];[];[];[Mm^3/h];[bar];[MW];[num];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW];[boolean];[];[MW]
Aberdeen;;Aberdeen;;;Googlemaps;;;;1;;;;;;;;;;;;;;;;;;;;;;
Achim;;Achim;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ajdovscina;;Ajdovscina;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
AlcazarDeSanJuan;Compressorzahl installed capacity, authorised flow in dokument fuer Spanien;AlcazarDeSanJuan;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Aleksandrovka;;Aleksandrovka;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Algete;;Algete;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Almendralejo;;Almendralejo;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Alphen;;Alphen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Alrewas;;Alrewas;1970;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;21.6;2;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;;;;
Ananiev;;Ananiev;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Wieringermeer;;Wieringermeer;;;;;;;1;1.2;90;;;0;;;;;;;;;;;;;;;;;
ArieuxEnGohelle;;ArieuxEnGohelle;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;90;;;;;;;;;1;;;;;;;;;;;
Auros;;Auros;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
AuversLeHanom;;AuversLeHanom;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Avonbridge;;Avonbridge;;;Googlemaps;;;;1;;;;;;;;;;;;;;;;;;;;;;
Avonmouth;;Avonmouth;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Aylesbury;;Aylesbury;;;Googlemaps;;;;1;;;;;;;;;;;;;;;;;;;;;;
Baldenheim;;Baldenheim;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Ballylumford;;Ballylumford;;;Googlemaps;;;;1;;;;;;;;;;;;;;;;;;;;;;
Baneras;;Baneras;;;https://www.enagas.es/stfls/ENAGAS/Transporte%20de%20Gas/Documentos/CAT_English.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Bar;Vinnytsia region;Bar;;;;;;Soyuz;1;;;;;;;;;;;;;;;;;;;;;;
Barbaira;SC Barbaira;Barbaira;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;7;;;;;;;;;;;;;;;;;;;;;
Bata;;Bata;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Bathgate;;Bathgate;1977;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;47.2;4;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;
Baumgarten; an der March;Baumgarten;;;;;;WAG,TAG;1;;;;;;;;;;;;;;;;;;;;;;
Berdichev;;Berdichev;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Beregdaroc;;Beregdaroc;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Beregovaya;;Beregovaya;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Berneau;;Berneau;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Beverwijk;;Beverwijk;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Beynes;;Beynes;2015;;http://www.grtgaz.com/en/major-projects/beynes-compressor-station/presentation/news/compressor-station-at-the-beynes-site.html;;;;1;;;24.6;2;1;;12.3;1;;12.3;;;;;;;;;;;;
Bibesti;;Bibesti;2019;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
BishopAuckland;;BishopAuckland;1974;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;14.4;2;1;Orendas;;1;Orendas;;;;;;;;;;;;;
Bobbau;KeineFernleitung;Bobbau;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Bobbau;;ONTRAS;;1;0.8;;20;2;1;;10;1;;10;;;;;;;;;;;;
Brammer;Erdgasspeicher Wolfersberg;Brammer;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Brammer;;RWE DEA AG;;1;;70;15;3;0;;;0;;;0;;;;;;;;;;;
Breal;;Breal;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Breheville;;Breheville;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Brighthouse;;Brighthouse;;;Googlemaps;;;;1;;;;;;;;;;;;;;;;;;;;;;
Brizambourg;;Brizambourg;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Bunde;;Bunde;;;Y:\SciGRID_gas\AusTausch\AP5 - Vergleich&Validierung\AP5.3 - SciGrid-Gas Validierung\MetaData\Kompressoren\Deutschland\Bunde;;GASCADE;;1;1.2;90;;2;0;;6.4;0;;6.4;;;;;;;;;;;;
Cambridge;;Cambridge;1974;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;23;2;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;;;;
Captiex;;Captiex;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Carnforth;;Carnforth;;;Shapefile;;;;1;;;;;;;;;;;;;;;;;;;;;;
Carregado;;Carregado;2021;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
ChateauLandon;;ChateauLandon;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Chazelles;;Chazelles;;;http://www.grtgaz.com/fileadmin/plaquettes/en/2017/Essentiel-plaquette-institutionnelle-EN-2017.pdf;;;;1;;;;;;;;;;;;;;;;;;;;;;
Chelmsford;;Chelmsford;1973;;https://en.wikipedia.org/wiki/National_Transmission_System;;;;1;;;23;2;1;Rolls-Royce Avons;;1;Rolls-Royce Avons;;;;;;;;;;;;;
