id;comment;comp_id;start_year;end_year;source;license;pipe_name
TEXT;TEXT;TEXT;REAL;REAL;TEXT;TEXT;TEXT
[];[];[];[yyyy];[yyyy];[];[];[]
Almeria;;Almeria;;;;;
Alveringem;;Alveringem;;;;;Alveringem-Maldegem pipeline
Arnoldstein;;Arnoldstein;;;;;medgaz
BackiBreg;;BackiBreg;;;;;
Badajoz;;Badajoz;;;;;
Balassagyarmat;;Balassagyarmat;;;;;Slovak-Hungarian Gas Interconnector
Balgzand;;Balgzand;;;;;
Ballylumford;;Ballylumford;;;;;
Basel;;Basel;;;;;
Baumgarten;;Baumgarten;;;;;WAG
Beregdaroc;;Beregdaroc;;;;;
Bibesti;;Bibesti;;;;;
Biriatou;;Biriatou;;;;;
Bocholtz;;Bocholtz;;;;;TENP
Brandov;;Brandov;;;;;
Brighthouse;;Brighthouse;;;;;
Budince;;Budince;;;;;Vojany-U?horod pipeline
Burghausen;;Burghausen;;;;;MONACO
CampoMaior;;CampoMaior;;;;;
Cersak;;Cersak;;;;;
Cordoba;;Cordoba;;;;;
Csanadpalota;;Csanadpalota;;;;;
Deutschneudorf;;Deutschneudorf;;;;;
Dilsen;;Dilsen;;;;;
DonjiMiholac;;DonjiMiholac;;;;;Gas pipeline between Vrosfld-Slobodnica
Dornum;;Dornum;;;;;
Dravaszerdahely;;Dravaszerdahely;;;;;
Drozdwicze;;Drozdwicze;;;;;
Dunkerque;;Dunkerque;;;;;
Ellund;;Ellund;;;;;
Elten;;Elten;;;;;
Emden;;Emden;;;;;NPT, EPT
Emsbueren;;Emsbueren;;;;;
Eynatten;;Eynatten;;;;;
Fallentor;;Fallentor;;;;;
Gela;;Gela;;;;;
Gorizia;;Gorizia;;;;;
Gravenvoeren;;Gravenvoeren;;;;;
Haiming;;Haiming;;;;;
Hermahnowice;;Hermahnowice;;;;;
Hilvarenbeek;;Hilvarenbeek;;;;;
Hugelheim;;Hugelheim;;;;;
Imatra;;Imatra;;;;;
Inzenham;;Inzenham;;;;;
Isaccea;;Isaccea;;;;;
JuraLaCure;;JuraLaCure;;;;;
Kardam;;Kardam;;;;;
Karksi;;Karksi;;;;;
Kiefersfelden;;Kiefersfelden;;;;;
Kiemenai;;Kiemenai;;;;;
Kipoi;;Kipoi;;;;;
Kiskundorozsma;;Kiskundorozsma;;;;;
Kondratki;;Kondratki;;;;;Yamal
Korneti;;Korneti;;;;;Baltic Pipeline System
Kotlovka;;Kotlovka;;;;;
Kulata;;Kulata;;;;;
Kyustendil;;Kyustendil;;;;;
Lanzhot;;Lanzhot;;;;;
Larrau;;Larrau;;;;;
Lasow;;Lasow;;;;;
Lindau;;Lindau;;;;;
Loughshinny;;Loughshinny;;;;;
Loznica;;Loznica;;;;;
Mallnow;;Mallnow;;;;;
MazaraDelVallo;;MazaraDelVallo;;;;;TransMed
Medelsheim;;Medelsheim;;;;;MEGAL Nord
MediesuAurit;;MediesuAurit;;;;;
Mellitah;;Mellitah;;;;;Greenstream
MericNehri;;MericNehri;;;;;
Mosonmagyarovar;;Mosonmagyarovar;;;;;
Murfeld;;Murfeld;;;;;
Narva;;Narva;;;;;
NegruVoda;;NegruVoda;;;;;
Nemencine;;Nemencine;;;;;
Nybro;;Nybro;;;;;
Obbicht;;Obbicht;;;;;
Oberkappel;;Oberkappel;;;;;
Olbernhau;;Olbernhau;;;;;
Oltinigue;;Oltinigue;;;;;
Orlovka;;Orlovka;;;;;TENP
Otranto;;Otranto;;;;;
OudeStatenzijl;;OudeStatenzijl;;;;;EPT, NPT
Pakruojis;;Pakruojis;;;;;
PassoGries;;PassoGries;;;;;Transitgas Pipeline
Petange;;Petange;;;;;
Pfronten;;Pfronten;;;;;
Piombino;;Piombino;;;;;
Raeren;;Raeren;;;;;
Remich;;Remich;;;;;
Rogatec;;Rogatec;;;;;
Sakiai;;Sakiai;;;;;
Sempeter;;Sempeter;;;;;
Sidirokastron;;Sidirokastron;;;;;
Silistea;;Silistea;;;;;
Strandja;Srtandszha;Strandja;;;;;
Takovo;;Takovo;;;;;
Tarvisio;;Tarvisio;;;;;
Trzac;;Trzac;;;;;
Tuy;;Tuy;;;;;
Ueberackern;;Ueberackern;;;;;
UmagRijeka;;UmagRijeka;;;;;
Uzhgorod;;Uzhgorod;;;;;
ValeDeFrades;;ValeDeFrades;;;;;
ValencaDoMinho;;ValencaDoMinho;;;;;
Vaerska;;Vaerska;;;;;
Vodice;;Vodice;;;;;
Vyborg;;Vyborg;;;;;
Waidhaus;;Waidhaus;;;;;MEGAL
Wallbach;;Wallbach;;;;;
Winterswijk;;Winterswijk;;;;;
Wysokoje;;Wysokoje;;;;;
Zajecar;;Zajecar;;;;;
Zandvliet;;Zandvliet;;;;;
Zeebrugge;;Zeebrugge;;;;;
Zelzate;;Zelzate;;;;;
Zweekhorst;;Zweekhorst;;;;;
Zhidilovo;;Zhidilovo;;;;;
