id;comment;comp_id;is_H_gas;start_year;end_year;source;license;is_bothDirection;length;diameter_mm;max_pressure_bar;max_cap_M_m3_per_d;num_compressor
TEXT;TEXT;TEXT;INT;INT;INT;TEXT;TEXT;INT;REAL;REAL;REAL;REAL;REAL
[];[];[];[];[yyyy];[yyyy];[];[];[];[km];[mm];[bar];[M m^3/d];[]
AlcazarDeSanJuan;;AlcazarDeSanJuan;1;;;https://theodora.com/pipelines/france_and_belgium_pipelines.html;theodora;;;;;;
AlcazarDeSanJuan_Chinchilla;;AlcazarDeSanJuan_Chinchilla;1;;;E118;theodora;;;;;;
AlcazarDeSanJuan_Ibiza;;AlcazarDeSanJuan_Ibiza;1;;;https://theodora.com/pipelines/france_and_belgium_pipelines.html;theodora;;;;;;
AlcazarDeSanJuan_Madrid;;AlcazarDeSanJuan_Madrid;1;;;Extra bei Hand;;;;;;;
Alessandria_Cortemaggiore;;Alessandria_Cortemaggiore;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;914.4;75;;
Almendralejo_Badajoz;;Almendralejo_Badajoz;1;;;http://www.emplpipeline.com/en/the-gas-pipeline/,Extra bei Hand;EMPL;;;;;;
Almendralejo_Valladolid;;Almendralejo_Valladolid;1;;;https://theodora.com/pipelines/france_and_belgium_pipelines.html;theodora;;;;;;
Almendralejo_Zamora;;Almendralejo_Zamora;1;;;"http://www.emplpipeline.com/en/the-gas-pipeline/,Extra bei Hand
";EMPL;;;;;;
Alrewas_Churchover;;Alrewas_Churchover;;;;;;;;;;;
Alrewas_Peterborough;;Alrewas_Peterborough;;;;;;;;;;;
Alrewas_Peterborough;;Alrewas_Peterborough;;;;;;;;;;;
Altamura_Candela;;Altamura_Candela;1;;;Extra;;;;1219;75;;
Altamura_Latiano;;Altamura_Latiano;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;508;75;;
Altamura_MonteAlpi;;Altamura_MonteAlpi;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;508;75;;
Altamura_Palagiano;;Altamura_Palagiano;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;1219;75;;
Angouleme_Roussines;;Angouleme_Roussines;1;;;Extra;;;;;;;
Arad_Szeged;;Arad_Szeged;1;;;https://en.wikipedia.org/wiki/Arad%E2%80%93Szeged_pipeline;Wikipedia;;109;700;;12.05;
Arad_Szeged;;Arad_Szeged;1;;;;;;;;;;
Arnoldstein_Tarvisio_Extra;;Arnoldstein_Tarvisio_Extra;1;;;Extra;;;;;;;
ArtereDeLAdour;;ArtereDeLAdour;1;;;;;;;;;;
Audley_Alrewas;;Audley_Alrewas;;;;;;;;;;;
Avonmouth_Ilchester;;Avonmouth_Ilchester;;;;;;;;;;;
Aylesbury_Huntingdon;;Aylesbury_Huntingdon;;;;;;;;;;;
Aylesbury_Lockerley;;Aylesbury_Lockerley;;;;;;;;;;;
Aylesbury_Whitwell;;Aylesbury_Whitwell;;;;;;;;;;;
Bacton_Cambridge;;Bacton_Cambridge;;;;;;;;;;;
Bacton_Diss;;Bacton_Diss;;;;;;;;;;;
Bacton_Kings;;Bacton_Kings;;;;;;;;;;;
Badajoz_Leiria;;Badajoz_Leiria;1;;;http://www.emplpipeline.com/en/the-gas-pipeline/,Extra bei Hand;EMPL;;;;;;
BalticPolishPipe;;BalticPolishPipe;1;2022;;https://www.baltic-pipe.eu/de/das-projekt/;;;;;;13.6986;
Bathgate_Moffat;;Bathgate_Moffat;;;;;;;;;;;
BBL;;BBL;1;2006;;https://en.wikipedia.org/wiki/BBL_Pipeline;Wikipedia;1;235;914;135;43.83;1
Benevento_Biccari;;Benevento_Biccari;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;609;64;;
Bernalda_Grumento;;Bernalda_Grumento;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;1066.8;75;;
BernauSzczecin;;BernauSzczecin;1;;;http://interfaxenergy.com/article/19138/lng-better-than-norway-pipeline-ex-polish-pm;;;;;;13.6986;
Berneau_Eynatten;;Berneau_Eynatten;1;;;https://www.fluxys.com/belgium/en/about%20fluxys/infrastructure/network/network;Fluxys;;;;;;
Beziers_Lacq;;Beziers_Lacq;1;;;Extra;;;;;;;
BGTP;;BGTP;1;;;Belfast Gas Transmission Pipeline;;;35;600;75;;
Biccari_Candela;;Biccari_Candela;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;1219;75;;
Blackrod_Elworth;;Blackrod_Elworth;;;;;;;;;;;
Bordano_MoggioUdinesse_1;;Bordano_MoggioUdinesse_1;1;;;http://www.snam.it/en/transportation/Thermal_Year_Archive/Thermal_Year_2013_2014/Info-to-users/index.html;Snam;;;1219.2;75;;
