id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;max_workingGas_M_m3;max_workingGas_TWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_GWh_per_d;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[M Nm^3];[TWh];[M m^3/d];[GWh/d];[GWh/d];[]
7Fields;7Fields, Storage Capacity connected to Germany and Austria;7Fields;2011;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Leeres Gas Feld;;1;Uniper Energy Storage;;19.415;;242.7;161.8;nTPA
Aigelsbrunn;Aigelsbrunn;Aigelsbrunn;2011;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;1;RAG.Energy.Storage;;1.47;;13.6;13.6;nTPA
Aldbrough1;Aldbrough_1;Aldbrough1;2009;;http://sse.com/whatwedo/wholesale/gasstorage/;;Salz Kaverne;;1;SSE;;2.0819;;342;311;No TPA
Aldbrough2;Aldbrough_2;Aldbrough2;2999;;http://sse.com/whatwedo/ourprojectsandassets/thermal/Aldbrough/;;Salz Kaverne;;1;SSE;;0.55;;0;0;No TPA
Alfonsine;Alfonsine;Alfonsine;2026;;http://www.stogit.it/en/index.html;;Leeres Feld;;1;STOGIT;;1.6359;;27.3;27.3;rTPA
Alkmaar;"Alkmaar, Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";Alkmaar;1997;;http://www.taqaglobal.com/our-regions/netherlands/gas-storage/peak-gas-installation/overview?sc_lang=en;;Leeres Gas Feld;;1;TAQA Energy BV;;4.9514;;356.5;39.6;No TPA
Allmenhausen;Allmenhausen;Allmenhausen;1996;;http://www.thueringerenergie.de/Unternehmen/Ueber_uns/Geschaeftsfelder/Speicher.aspx;;Leeres Gas Feld;;1;TEP (Thueringer Energie Speichergesellschaft);62;0.688;1.488;16.5;8.8;nTPA
AlsaceSud;Alsace Sud;AlsaceSud;2022;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;1;Storengy;;2.28;;109.4;34.2;nTPA
Atwick;Atwick;Atwick;2999;;;;Salz Kaverne;;1;;;2.614;;;;
BadLauchstaedt_1;Bad Lauchstaedt;BadLauchstaedt;1975;;https://www.vng-gasspeicher.de/storage_locations;;Salt cavern;;1;VNG Gasspeicher;440;;5.712;;;nTPA
BadLauchstaedt_2;Bad Lauchstaedt;BadLauchstaedt;2020;;;;;;;;65;;;;;
BadLauchstaedt_3;Bad Lauchstaedt;BadLauchstaedt;;;;;;;;;955;;22.08;;;
BagnoloMella;Bagnolo Mella;BagnoloMella;2999;;http://www.edisonstoccaggio.it/en;;Leeres Feld;;1;Edison Stoccaggio;;0.968;;6.6;6.6;rTPA
Balaceanca;Balaceanca;Balaceanca;1992;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;0.5407;;6.6;5.4;rTPA
BanatskiDvor_1;BanatskiDvor;BanatskiDvor;2011;;http://www.srbijagas.com/naslovna.1.html;;Leeres Gas Feld;;1;Srbijagas;450;4.95;;55;38.5;rTPA
BanatskiDvor_2;BanatskiDvor;BanatskiDvor;2017;;http://www.srbijagas.com/naslovna.1.html;;Leeres Gas Feld;;1;Srbijagas;;3.85;;55;22;rTPA
Bergermeer;Bergermeer;Bergermeer;2015;;http://www.gasstoragebergermeer.com/gas-storage-bergermeer-2/;;Leeres Gas Feld;;1;TAQA Energy BV;;45.6;;634.5;467.8;nTPA
Berlin;Berlin;Berlin;1992;;http://www.berliner-erdgasspeicher.de/en/Pages/default.aspx;;Aquifer;;1;BES (Berliner Erdgasspeicher);180;1.665;5.4;59.9;32;nTPA
Bernburg;Bernburg;Bernburg;1974;;http://www.vng-gasspeicher.de/content/en/Speicher/index.html;;Salz Kaverne;;1;VNG Gasspeicher;1039;;24;;;nTPA
Beynes;Beynes;Beynes;1956;;https://www.storengy.com/countries/france/en/nos-sites/beynes.html;;;1;1;Storengy;;13.195;;;;
Bierwang;Bierwang;Bierwang;1975;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Leeres Gas Feld;;1;Uniper Energy Storage;1450;10.08;28.8;349.4;268.8;nTPA
Bilciuresti;Bilciuresti;Bilciuresti;1983;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;1;Romgaz;;14.0327;;170.7;139.1;rTPA
