id;comment;comp_id;start_year;end_year;source;license;store_type;is_H_gas;is_onShore;operator_name;Compressor;num_storage_wells;structure_depth_m;max_workingGas_M_m3;max_workingGas_TWh;max_workingGas_kWh;max_cap_store2pipe_M_m3_per_d;max_cap_store2pipe_GWh_per_d;max_cap_store2pipe_GWh_per_d;max_cap_pipe2store_m3_per_d;max_cap_pipe2store_GWh_per_d;max_cap_pipe2store_kWh_per_h;access_regime
TEXT;TEXT;TEXT;INT;INT;TEXT;TEXT;TEXT;INT;INT;TEXT;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;REAL;TEXT
[];[];[];[yyyy];[yyyy];[];[];[];[];[];[];[MW];[];[m];[M Nm^3];[TWh];[kWh];[M m^3/d];[GWh/d];[kWh/h];[M^3/d];[GWh/d];[kWh/h];[]
7Fields;7Fields, Storage Capacity connected to Germany and Austria;7Fields;2011;;https://www.uniper-energy-storage.com/cps/rde/xchg/ust/hs.xsl/3252.htm?rdeLocaleAttr=en;;Leeres Gas Feld;;;;;;;;;;;;;;;;
Aigelsbrunn;Aigelsbrunn;Aigelsbrunn;2011;;http://www.rag-energy-storage.at/en.html;;Leeres Gas Feld;;;;;;;;0.001469;;;;566000;;;566000;
Aldbrough1;Aldbrough_1;Aldbrough1;2009;;http://sse.com/whatwedo/wholesale/gasstorage/;;Salz Kaverne;;;;;;;;;;;;;;;;
Aldbrough2;Aldbrough_2;Aldbrough2;2999;;http://sse.com/whatwedo/ourprojectsandassets/thermal/Aldbrough/;;Salz Kaverne;;;;;;;;;;;;;;;;
Alfonsine;Alfonsine;Alfonsine;2026;;http://www.stogit.it/en/index.html;;Leeres Feld;;;;;;;;;;;;;;;;
Alkmaar;"Alkmaar, Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";Alkmaar;1997;;http://www.taqaglobal.com/our-regions/netherlands/gas-storage/peak-gas-installation/overview?sc_lang=en;;Leeres Gas Feld;;;;;;;;4.9;;;352.8;;;36;;
Allmenhausen;Allmenhausen;Allmenhausen;1996;;http://www.thueringerenergie.de/Unternehmen/Ueber_uns/Geschaeftsfelder/Speicher.aspx;;Leeres Gas Feld;;;;;;;62;;;1.488;;;0.744;;;
AlsaceSud;Alsace Sud;AlsaceSud;2022;;http://www.storengy.com/countries/france/en/;;Salz Kaverne;;;;;;;;;;;;;;;;
Atwick;Atwick;Atwick;2999;;;;Salz Kaverne;;;;;;;;;;;;;;;;
BadLauchstaedt_1;Bad Lauchstaedt;BadLauchstaedt;1976;;https://www.vng-gasspeicher.de/storage_locations;;Salt cavern;;;;;17;;1085;;;;;;;;;
BadLauchstaedt_2;Bad Lauchstaedt;BadLauchstaedt;2020;;;;;;;;;;;;;;;;;;;;
BadLauchstaedt_3;Bad Lauchstaedt;BadLauchstaedt;;;;;;;;;;;;;;;;;;;;;
BagnoloMella;Bagnolo Mella;BagnoloMella;2999;;http://www.edisonstoccaggio.it/en;;Leeres Feld;;;;;;;;;;;;;;;;
Balaceanca;Balaceanca;Balaceanca;1992;;http://www.romgaz.ro/en/inmagazinare;;Leeres Gas Feld;;;;;;;;;;;;;;;;
BanatskiDvor_1;BanatskiDvor;BanatskiDvor;2011;;http://www.srbijagas.com/naslovna.1.html;;Leeres Gas Feld;;;;;;;;;;;;;;;;
